Date,Actual Price,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3),Predicted Price (run 4),Predicted Price (run 5),Predicted Price (run 6)
2022/05/16,244.4600067,245.7647,245.54794,247.17252,246.7994,247.92273,246.11885
2022/05/17,246.0,243.40218,243.61493,244.89809,244.69977,245.71954,243.88539
2022/05/18,239.4600067,244.79593,244.44614,246.01833,245.73486,246.96428,245.21056
2022/05/19,229.5,238.85321,239.38159,240.32088,240.32387,241.20996,239.33392
2022/05/20,231.3800049,230.12169,230.66783,231.0425,231.20674,232.04578,230.25317
2022/05/23,235.7599945,231.03148,230.81317,231.89212,231.59059,232.5166,230.869
2022/05/24,237.5,234.50168,234.91234,236.13846,235.51482,236.33812,234.65085
2022/05/25,242.5800018,236.24872,236.97395,237.9994,237.48088,238.44603,236.75604
2022/05/26,246.0,240.74966,240.87169,242.17583,241.76614,243.07211,241.32536
2022/05/27,249.5,243.75404,243.81929,245.24239,244.99174,246.34195,244.47746
2022/05/31,250.0,247.03505,246.70047,248.39523,248.2113,249.68283,247.83366
2022/06/01,253.1900024,247.64832,247.31229,249.10461,249.03293,250.39809,248.57158
2022/06/02,249.6000061,250.77531,249.9432,252.18433,251.92125,253.40056,251.69058
2022/06/03,248.4299927,247.7826,247.55603,249.50288,249.43362,250.55655,248.88608
2022/06/06,249.0800018,247.21248,246.47041,248.58745,248.36728,249.62296,248.16237
2022/06/07,246.0,247.76796,247.20735,249.43736,248.98172,250.15236,248.68541
2022/06/08,247.8999939,245.2213,245.14749,246.94586,246.5963,247.63046,246.18109
2022/06/09,243.6199951,247.0215,246.47556,248.48235,247.96594,249.24216,247.82361
2022/06/10,239.1799927,243.1121,243.37906,244.7283,244.48676,245.49057,243.9318
2022/06/13,232.7899933,239.2548,239.30879,240.32886,240.21097,241.30475,239.7772
2022/06/14,239.9600067,233.25371,233.68137,234.25337,234.18214,235.09448,233.45181
2022/06/15,239.8600006,238.94818,238.50522,239.95781,239.3668,240.54321,238.93265
2022/06/16,236.0800018,238.61734,239.46928,240.43044,239.90662,240.80031,238.94464
2022/06/17,234.2200012,235.49168,236.20229,236.78511,236.59642,237.65634,235.79172
2022/06/21,236.2200012,233.444,233.76329,234.46846,234.34917,235.44502,233.47772
2022/06/22,238.7899933,234.75304,234.90184,235.95111,235.63496,236.70828,234.70432
2022/06/23,243.6999969,236.87097,237.22342,238.43674,237.97096,239.02892,236.98877
