Date,Actual Price,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3),Predicted Price (run 4),Predicted Price (run 5),Predicted Price (run 6)
2022-05-16,259.9599914550781,258.49582,263.04456,259.83347,259.84302,261.53915,255.92174
2022-05-17,266.1099853515625,259.79602,263.9307,261.43054,261.3989,263.13773,257.5589
2022-05-18,263.0,264.5883,268.40155,266.48544,266.3159,268.1767,262.68573
2022-05-19,253.8999938964844,263.1906,266.4155,264.54807,264.29727,266.17508,260.9961
2022-05-20,257.239990234375,256.31808,259.74927,257.2169,257.0559,258.6749,253.77141
2022-05-23,255.4900054931641,257.3507,262.14996,258.85052,258.8007,260.30334,255.12498
2022-05-24,257.8900146484375,256.2997,260.08716,257.56995,257.58963,259.19135,254.00836
2022-05-25,258.1400146484375,257.76083,261.3519,259.22595,259.27182,260.91846,255.7166
2022-05-26,262.2699890136719,258.27457,261.9081,259.63327,259.66916,261.39218,256.2406
2022-05-27,268.4800109863281,261.48035,265.16666,263.02176,263.0263,264.82874,259.61237
2022-05-31,272.5299987792969,266.944,270.62845,268.58517,268.509,270.4966,265.16794
2022-06-01,275.20001220703125,271.21115,274.47775,272.6592,272.50113,274.66623,269.29297
2022-06-02,264.45001220703125,274.22336,277.55133,275.47678,275.2619,277.53793,272.07916
2022-06-03,270.3099975585937,266.6173,269.52405,266.9972,266.9131,269.0623,263.75204
2022-06-06,272.0599975585937,270.0105,274.47232,271.1802,271.18503,273.23364,267.48328
2022-06-07,266.6400146484375,271.7964,275.3176,272.85797,272.86746,275.1462,269.24142
2022-06-08,271.7099914550781,267.7597,270.27335,268.4527,268.47604,270.70972,265.01303
2022-06-09,267.7799987792969,270.9797,275.0632,272.2794,272.25214,274.44553,268.571
2022-06-10,260.5799865722656,268.3169,271.43237,269.22348,269.1663,271.4086,265.6492
2022-06-13,245.1100006103516,262.3392,265.33884,263.06906,263.06107,265.07462,259.51318
2022-06-14,243.8600006103516,249.80208,253.23929,250.16162,250.31308,251.94594,246.70428
2022-06-15,248.3099975585937,245.54959,250.11777,246.78719,247.1259,248.4433,243.0104
2022-06-16,245.97999572753903,247.3968,251.79327,249.24654,249.55211,250.96564,245.42325
2022-06-17,244.6999969482422,246.12762,249.1233,247.73796,247.91304,249.38081,244.22157
2022-06-21,250.259994506836,244.75052,248.12979,246.4283,246.51259,247.85852,243.00934
2022-06-22,251.88999938964844,248.36606,252.58687,250.4683,250.45973,251.8006,246.94968
2022-06-23,255.57000732421875,250.6822,254.18669,252.5349,252.45665,253.88351,249.141
2022-06-24,261.8099975585937,254.07144,257.6081,255.8966,255.77539,257.27194,252.53346
2022-06-27,268.2099914550781,259.7349,263.5351,261.58743,261.41656,263.08484,258.2015
2022-06-28,263.9800109863281,266.0721,269.47247,267.7844,267.56396,269.47122,264.42136
2022-06-29,257.5899963378906,264.3208,267.0283,265.2275,265.0749,267.05447,262.05304
2022-06-30,257.04998779296875,259.446,262.69272,260.0342,260.03867,261.87363,256.81906
2022-07-01,256.3900146484375,258.08005,262.0627,258.94418,259.11606,260.90256,255.53821
2022-07-05,256.1600036621094,257.1654,260.58698,258.10962,258.37964,260.24265,254.73355
2022-07-06,263.75,256.59015,259.7343,257.65277,257.93832,259.84332,254.33856
2022-07-07,265.1199951171875,261.97842,265.6769,263.59903,263.77972,265.80945,260.17572
2022-07-08,264.7900085449219,264.07407,266.97852,265.4269,265.46677,267.63034,262.1322
2022-07-11,265.6499938964844,264.25378,267.2659,265.46658,265.41443,267.53406,262.15457
2022-07-12,265.8800048828125,265.0528,268.72827,266.29706,266.19815,268.28207,262.84354
2022-07-13,250.19000244140625,265.44937,268.93585,266.63217,266.5243,268.61255,263.1042
2022-07-14,250.57000732421875,253.93051,256.55814,254.21779,254.2461,256.09094,250.95055
2022-07-15,255.72000122070312,251.49641,255.85294,252.63783,252.83665,254.3713,248.96454
2022-07-18,259.75,254.5634,258.85406,256.20584,256.3942,258.0757,252.44539
2022-07-19,257.5799865722656,258.14035,261.0694,259.82788,259.8862,261.74225,256.2429
2022-07-20,259.8999938964844,257.28253,260.08124,258.62384,258.56482,260.41806,255.23123
2022-07-21,259.7900085449219,258.8735,262.54474,260.42102,260.2911,262.07794,256.90637
2022-07-22,265.239990234375,259.25443,262.7643,260.6431,260.4957,262.30087,257.125
2022-07-25,261.0,263.54086,267.21387,265.17786,264.99524,266.8787,261.54865
2022-07-26,259.8599853515625,261.31302,264.28998,262.3539,262.19165,264.12274,258.905
2022-07-27,261.1600036621094,260.10898,263.52716,261.21448,261.1101,262.94476,257.6755
2022-07-28,269.75,260.8845,264.67737,262.12866,262.06848,263.93762,258.51007
2022-07-29,277.70001220703125,267.58627,271.24744,269.2709,269.1525,271.2128,265.556
2022-08-01,277.82000732421875,275.0703,278.13474,276.75262,276.4702,278.82465,273.10394
2022-08-02,276.0,276.46637,279.0548,277.6254,277.23672,279.70398,274.07812
2022-08-03,276.760009765625,275.61295,278.8756,276.51627,276.1158,278.51715,272.83414
2022-08-04,281.79998779296875,276.3759,280.09448,277.32306,276.97266,279.36252,273.43893
2022-08-05,279.1499938964844,280.56348,284.07507,281.7475,281.3911,283.91516,277.73337
2022-08-08,284.04998779296875,278.8953,281.6302,279.6983,279.33502,281.9425,275.80768
2022-08-09,279.6400146484375,282.7903,286.3409,284.0006,283.56152,286.16183,279.87943
2022-08-10,288.1700134277344,279.60486,282.5574,280.3681,279.92133,282.56705,276.3464
2022-08-11,290.8500061035156,286.3307,290.04996,287.79123,287.24207,289.87167,283.44092
2022-08-12,288.4800109863281,289.04636,292.15115,290.29913,289.61734,292.4897,286.01266
2022-08-15,291.0,287.51645,290.1918,288.4687,287.7137,290.53134,284.15945
2022-08-16,291.989990234375,289.8391,293.72116,290.98712,290.17667,292.9439,286.41797
2022-08-17,289.739990234375,290.86267,294.1458,291.9445,291.11267,293.9643,287.33304
2022-08-18,290.19000244140625,289.1558,292.14038,290.06543,289.23428,292.0519,285.45187
2022-08-19,288.8999938964844,289.54947,293.1711,290.58817,289.75162,292.5109,285.8475
2022-08-22,282.0799865722656,288.44522,291.72122,289.43097,288.60266,291.36737,284.6994
2022-08-23,276.44000244140625,282.76532,285.81912,283.48166,282.7261,285.3481,278.83228
2022-08-24,275.4100036621094,277.6845,281.3681,278.4609,277.83,280.20755,273.7658
2022-08-25,277.3299865722656,275.98117,279.8635,277.07077,276.52438,278.7989,272.3503
2022-08-26,279.0799865722656,276.90958,280.4637,278.2829,277.70807,280.0195,273.6414
2022-08-29,265.8500061035156,278.1987,281.5526,279.6556,278.97812,281.34808,275.1341
2022-08-30,266.6700134277344,268.03885,270.9027,268.7056,268.08975,270.2589,264.50198
2022-08-31,265.3900146484375,267.20676,271.71576,268.50943,268.02832,269.87775,264.0065
2022-09-01,258.8699951171875,265.88602,269.92377,267.1661,266.7412,268.6604,262.8043
2022-09-02,261.70001220703125,260.58252,263.67133,261.60367,261.26328,263.0747,257.51248
2022-09-06,256.20001220703125,261.5834,265.87173,263.11694,262.82162,264.55563,258.95746
2022-09-07,254.6999969482422,257.62363,261.11316,258.7699,258.5156,260.249,254.8894
2022-09-08,257.510009765625,255.60947,259.3018,256.93704,256.76303,258.36545,253.10088
2022-09-09,260.5,257.21518,261.46866,258.81873,258.668,260.31204,254.9952
2022-09-12,265.7799987792969,259.80884,263.48352,261.43237,261.26105,263.0263,257.7397
2022-09-13,258.8399963378906,264.41696,268.06015,266.12332,265.88852,267.79883,262.50754
2022-09-14,253.52999877929688,260.24612,263.27454,261.17728,260.9981,262.88684,257.8467
2022-09-15,249.7700042724609,255.6088,259.3238,256.48492,256.4558,258.13147,253.111
2022-09-16,244.259994506836,251.83508,256.02002,252.79694,252.94182,254.51755,249.38576
2022-09-19,242.47000122070312,246.85098,250.53244,247.78389,248.08371,249.57742,244.48341
2022-09-20,242.07000732421875,244.06523,247.93288,245.30533,245.70259,247.12604,242.03
2022-09-21,244.2700042724609,242.8746,246.74226,244.34244,244.75485,246.17369,241.13242
2022-09-22,237.8699951171875,243.97404,247.73802,245.69118,246.05893,247.50362,242.53304
2022-09-23,239.5399932861328,239.82094,242.98409,241.09866,241.4456,242.8009,238.18605
2022-09-26,237.0500030517578,239.56873,243.59303,241.28859,241.64656,242.87622,238.26004
2022-09-27,239.97999572753903,237.9,241.7263,239.46982,239.83363,241.03326,236.5221
2022-09-28,236.8099975585937,239.34642,243.23753,241.19707,241.56499,242.76244,238.206
2022-09-29,238.88999938964844,237.72208,241.16487,239.23076,239.60555,240.80066,236.40068
2022-09-30,238.2899932861328,238.55455,242.31128,240.2953,240.6884,241.86102,237.41946
2022-10-03,235.4100036621093,238.50165,242.09576,240.10017,240.50745,241.70876,237.29347
2022-10-04,245.08999633789065,236.48897,239.76181,237.89105,238.34262,239.50243,235.17491
2022-10-05,245.9900054931641,242.50555,246.76784,244.63472,245.07059,246.34341,241.69675
2022-10-06,247.92999267578125,245.18263,248.29575,246.80956,247.19957,248.65588,244.06667
2022-10-07,240.8999938964844,247.22313,250.1893,248.7323,249.0909,250.59592,246.03595
2022-10-10,233.0500030517578,242.87704,245.80049,243.78986,244.1996,245.62355,241.22507
2022-10-11,227.6199951171875,236.12952,239.32935,236.92784,237.46951,238.66681,234.31519
2022-10-12,225.3999938964844,230.278,233.98001,231.316,231.99797,233.0189,228.57123
2022-10-13,219.8500061035156,226.77904,230.52632,228.18977,228.95374,229.90616,225.3466
2022-10-14,235.5399932861328,221.97385,225.16634,223.3855,224.15973,225.0404,220.63116
2022-10-17,235.82000732421875,230.34879,234.9509,233.1744,233.87117,234.8762,230.0735
2022-10-18,243.2400054931641,234.11377,236.89305,236.1805,236.68452,237.89706,233.41821
2022-10-19,237.0399932861328,240.17603,243.09093,242.40295,242.74417,244.01247,239.67603
2022-10-20,235.7700042724609,237.91664,240.59885,239.24641,239.55096,240.77126,236.7525
2022-10-21,234.7400054931641,236.1875,239.5307,237.60434,237.96187,239.04268,234.9677
2022-10-24,243.759994506836,235.07014,238.78552,236.51299,236.95242,238.02731,233.76744
2022-10-25,247.259994506836,240.98729,244.95023,243.01411,243.47194,244.73196,240.06433
2022-10-26,231.1699981689453,245.47571,248.37364,247.16486,247.56613,249.08086,244.36592
2022-10-27,231.0399932861328,235.61626,237.14832,235.99493,236.4609,237.80745,233.63885
