Date,Actual Price,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3),Predicted Price (run 4),Predicted Price (run 5),Predicted Price (run 6)
2022/08/11,81,81.04447,80.99842,81.68746,81.3087,81.0227,81.5794
2022/08/12,80.75,80.94871,80.897545,81.59603,81.2065,80.9299,81.4932
2022/08/15,80.59999847,80.74324,80.672806,81.40135,81.0042,80.7221,81.2851
2022/08/16,80.80999756,80.61303,80.5272,81.27051,80.8672,80.5815,81.1425
2022/08/17,80.76000214,80.79504,80.703064,81.44909,81.0349,80.7484,81.306
2022/08/18,80.70999908,80.74536,80.663734,81.38826,80.9959,80.702,81.261
2022/08/19,80.33000183,80.70668,80.63072,81.34582,80.952,80.6678,81.2221
2022/08/22,79.83000183,80.37023,80.29046,81.01645,80.634,80.3442,80.8907
2022/08/23,79.52999878,79.921196,79.831795,80.57392,80.1916,79.9025,80.4363
2022/08/24,79.36000061,79.63197,79.529434,80.29651,79.9038,79.6117,80.1285
2022/08/25,79.5,79.447754,79.345,80.11412,79.7252,79.4269,79.9299
2022/08/26,79.41999817,79.5406,79.44901,80.20404,79.8135,79.518,80.01
2022/08/29,78.55000305,79.45339,79.38007,80.11288,79.7433,79.4441,79.9309
2022/08/30,78.83000183,78.68168,78.61883,79.3438,79.0021,78.7013,79.1831
2022/08/31,78.98000336,78.884865,78.80733,79.575134,79.171,78.8902,79.3498
2022/09/01,78.20999908,78.989525,78.91693,79.67974,79.304,78.9969,79.4539
2022/09/02,78.5,78.30971,78.26392,78.979034,78.6472,78.3401,78.8077
2022/09/06,77.58999634,78.52549,78.47092,79.22445,78.8234,78.5412,78.9956
2022/09/07,76.87999725,77.72157,77.66527,78.42468,78.0806,77.7627,78.2188
2022/09/08,77.62000275,77.05349,76.996216,77.76174,77.3917,77.0959,77.5417
2022/09/09,77.56999969,77.609276,77.53509,78.35203,77.9135,77.6212,78.0464
2022/09/12,78.75,77.56692,77.520195,78.27777,77.9089,77.5913,78.0258
2022/09/13,77.48999786,78.588165,78.57687,79.287415,78.8743,78.5936,79.034
2022/09/14,77,77.55643,77.56314,78.25047,77.941,77.6214,78.0847
2022/09/15,76.5,77.09821,77.09018,77.820335,77.4363,77.1619,77.6146
2022/09/16,76.70999908,76.616875,76.56201,77.3855,76.9807,76.6758,77.1134
2022/09/19,75.84999847,76.7267,76.670364,77.48254,77.0607,76.7582,77.1932
2022/09/20,76,75.980934,75.935684,76.72263,76.346,76.0279,76.4693
2022/09/21,75.18000031,76.02795,75.98975,76.78394,76.3515,76.0623,76.4888
2022/09/22,75.30999756,75.32004,75.27766,76.08426,75.6925,75.3813,75.7959
2022/09/23,76.58999634,75.33935,75.30643,76.111374,75.681,75.394,75.7898
2022/09/26,74.83999634,76.40157,76.37377,77.183304,76.7217,76.4333,76.8175
2022/09/27,74.69999695,75.0263,75.03246,75.75806,75.4478,75.1254,75.5353
2022/09/28,74.86000061,74.774124,74.78023,75.55355,75.1333,74.8666,75.2552
2022/09/29,75.19000244,74.852264,74.81907,75.67846,75.2341,74.9375,75.3049
2022/09/30,74.90000153,75.113914,75.10138,75.90112,75.4835,75.1854,75.5627
2022/10/03,74.41000366,74.89428,74.90231,75.666794,75.2753,74.9763,75.3694
2022/10/04,74.70999908,74.46226,74.47478,75.24892,74.8477,74.5571,74.9512
2022/10/05,74.83999634,74.65092,74.65261,75.46241,75.0184,74.734,75.1177
2022/10/06,74.08999634,74.76948,74.77095,75.57024,75.1453,74.8492,75.2376
2022/10/07,73.58999634,74.15928,74.172005,74.9445,74.5542,74.2567,74.6569
2022/10/10,73.34999847,73.668015,73.672356,74.48091,74.0538,73.7693,74.1591
2022/10/11,73.59999847,73.38957,73.37573,74.22582,73.776,73.4878,73.8603
2022/10/12,73.54000092,73.53663,73.52507,74.36795,73.9076,73.6218,73.986
2022/10/13,72.91999817,73.4971,73.4995,74.31145,73.8755,73.5872,73.9534
2022/10/14,73.44000244,72.98249,72.997795,73.79413,73.3782,73.094,73.4593
2022/10/17,72.80000305,73.323326,73.34022,74.162834,73.6934,73.4243,73.7741
2022/10/18,72.23000336,72.84598,72.85798,73.67513,73.2603,72.97,73.3201
2022/10/19,72.01000214,72.306076,72.32714,73.140396,72.7154,72.4399,72.7853
2022/10/20,72.23999786,72.03058,72.03862,72.89744,72.4389,72.1646,72.4925
2022/10/21,72.93000031,72.15488,72.163376,73.02272,72.5525,72.2784,72.5971
2022/10/24,72.83000183,72.72482,72.75032,73.57441,73.1048,72.833,73.1567
2022/10/25,72.73000336,72.735176,72.7817,73.55767,73.1365,72.8579,73.1995
2022/10/26,72.83999634,72.65889,72.7186,73.48829,73.0619,72.7926,73.1427
2022/10/27,72.36000061,72.7372,72.78687,73.58809,73.1417,72.8709,73.2206
2022/10/28,72.52999878,72.36003,72.399605,73.20826,72.7813,72.5011,72.8579
2022/10/31,72.93000031,72.43087,72.46693,73.28941,72.8266,72.5562,72.914
2022/11/01,73.26000214,72.76258,72.79183,73.61937,73.1468,72.8714,73.2335
2022/11/02,73.86000061,73.08305,73.123474,73.91525,73.4595,73.1835,73.5604
2022/11/03,72.5,73.62866,73.681206,74.45028,73.9908,73.72,74.1108
2022/11/04,72.08000183,72.61412,72.66144,73.42491,73.0327,72.7458,73.1528
2022/11/07,71.51999664,72.12244,72.153854,72.97673,72.5123,72.2518,72.6396
2022/11/08,71.75,71.58407,71.57497,72.47086,71.9885,71.7134,72.0757
2022/11/09,71.86000061,71.65861,71.64965,72.53696,72.0329,71.7671,72.114
2022/11/10,72.59999847,71.75283,71.753204,72.61277,72.1252,71.858,72.1994
2022/11/11,73.75,72.36255,72.39034,73.207054,72.7158,72.4599,72.7994
2022/11/14,74.36000061,73.40755,73.458374,74.234665,73.7563,73.4993,73.8447
2022/11/15,74.59999847,74.079865,74.15742,74.87439,74.4526,74.1861,74.5562
2022/11/16,74.11000061,74.38979,74.48061,75.18036,74.7777,74.5109,74.9083
2022/11/17,73.40000153,74.04583,74.117615,74.85348,74.456,74.1811,74.5989
2022/11/18,74.16000366,73.42958,73.466805,74.26056,73.8372,73.5604,73.9856
2022/11/21,74.09999847,73.96493,73.969696,74.81651,74.3157,74.0455,74.4672
2022/11/22,75.29000092,73.982796,73.97896,74.79687,74.342,74.0495,74.4884
2022/11/23,75.90000153,74.98127,75.00112,75.771164,75.2772,75.012,75.4631
2022/11/25,73.88999939,75.62902,75.65793,76.39704,75.9435,75.6646,76.13
2022/11/28,74.56999969,74.0609,74.098465,74.8073,74.4475,74.1601,74.6453
2022/11/29,74.25,74.45057,74.45307,75.27087,74.756,74.5171,74.9628
2022/11/30,73.77999878,74.22169,74.17803,75.04602,74.5816,74.2915,74.7214
2022/12/01,74.43000031,73.80035,73.77754,74.583664,74.1446,73.8692,74.3011
2022/12/02,74.69999695,74.27848,74.25364,75.08613,74.5904,74.3284,74.7419
2022/12/05,76.98999786,74.56105,74.545654,75.34808,74.8945,74.6182,75.0266
2022/12/06,76.58999634,76.53912,76.55858,77.30638,76.8073,76.5571,76.9669
2022/12/07,76.76000214,76.41255,76.464615,77.128075,76.7821,76.4869,76.9357
