Date,Actual,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3),Predicted Price (run 4),Predicted Price (run 5),Predicted Price (run 6)
2022/08/11,170.059998,163.768,161.399,162.54,161.944,161.78,164.387
2022/08/12,169.820007,165.844,163.161,164.491,163.868,163.633,166.168
2022/08/15,171.520004,167.033,164.599,165.862,165.236,165.053,167.58
2022/08/16,172.779999,168.059,165.786,166.918,166.282,166.079,168.742
2022/08/17,172.770004,169.111,166.858,167.893,167.223,167.009,169.809
2022/08/18,173.75,169.631,167.477,168.388,167.715,167.557,170.448
2022/08/19,173.029999,170.192,168,168.864,168.227,168.095,171.011
2022/08/22,169.690002,170.208,168.091,168.891,168.318,168.216,171.156
2022/08/23,167.080002,168.662,166.867,167.481,166.979,166.905,170.01
2022/08/24,167.320007,166.46,164.753,165.287,164.816,164.681,168.016
2022/08/25,168.779999,165.361,163.245,164.042,163.54,163.275,166.677
2022/08/26,170.570007,165.819,163.181,164.466,163.924,163.53,166.775
2022/08/29,161.149994,167.278,164.433,166.135,165.568,165.014,168.087
2022/08/30,162.130005,164.244,162.651,163.893,163.327,162.771,166.269
2022/08/31,160.309998,161.644,160.21,161.297,160.598,159.794,163.883
2022/09/01,156.639999,159.789,158.025,159.301,158.406,157.539,161.848
2022/09/02,159.75,157.552,155.703,157.197,156.257,155.461,159.686
2022/09/06,156.470001,157.288,154.92,156.923,156.009,155.106,159.085
2022/09/07,154.820007,156.612,154.318,156.576,155.752,154.708,158.554
2022/09/08,154.639999,155.258,153.291,155.583,154.799,153.525,157.53
2022/09/09,155.470001,154.149,152.253,154.617,153.758,152.271,156.512
2022/09/12,159.589996,153.923,151.811,154.371,153.39,151.815,156.113
2022/09/13,159.899994,155.686,153.038,155.978,154.913,153.321,157.368
2022/09/14,154.789993,157.474,154.83,157.877,156.856,155.328,159.059
2022/09/15,154.649994,156.253,154.503,157.074,156.178,154.744,158.563
2022/09/16,151.210007,154.503,153.046,155.292,154.44,152.96,157.041
2022/09/19,149.309998,152.275,150.787,152.911,152.064,150.64,154.816
2022/09/20,153.399994,150.215,148.446,150.685,149.883,148.543,152.587
2022/09/21,157.339996,150.666,148.01,150.783,150.046,148.674,152.335
2022/09/22,152.380005,153.584,150.078,153.486,152.833,151.356,154.481
2022/09/23,151.190002,154.117,151.266,154.525,153.925,152.414,155.488
2022/09/26,149.660004,152.858,150.799,153.602,152.895,151.286,154.831
2022/09/27,152.740005,151.069,149.281,151.772,150.837,149.241,153.236
2022/09/28,147.639999,151.044,148.702,151.339,150.187,148.72,152.714
2022/09/29,146.100006,149.936,147.624,150.251,149.099,147.925,151.66
2022/09/30,141.279999,148.162,146.02,148.596,147.561,146.479,150.071
2022/10/03,138.210007,145.283,143.434,145.908,144.969,143.835,147.502
2022/10/04,145.029999,142.072,140.316,142.808,141.876,140.612,144.452
2022/10/05,144.070007,142.181,139.486,142.562,141.519,140.073,143.854
2022/10/06,145.809998,143.625,140.321,143.899,142.785,141.311,144.798
2022/10/07,142.539993,145.275,141.983,145.736,144.584,143.06,146.37
2022/10/10,140.419998,145.006,142.48,145.899,144.686,143.138,146.642
2022/10/11,139.899994,143.19,141.388,144.351,143.032,141.495,145.376
2022/10/12,139.130005,141.339,139.686,142.438,141.013,139.557,143.638
2022/10/13,134.990005,140.023,138.126,140.917,139.484,138.184,142.145
2022/10/14,144.309998,138.108,136.179,138.995,137.703,136.543,140.264
2022/10/17,141.070007,139.558,136.684,140.024,138.873,137.615,140.944
2022/10/18,145.490005,141.24,138.085,141.671,140.677,139.356,142.33
2022/10/19,141.690002,143.453,140.288,143.937,142.998,141.53,144.386
2022/10/20,143.020004,143.703,141.219,144.48,143.483,142.02,145.077
2022/10/21,142.869995,143.363,141.268,144.169,143.041,141.641,144.968
2022/10/24,147.190002,143.043,140.956,143.661,142.432,141.209,144.6
2022/10/25,150.089996,144.431,141.784,144.619,143.386,142.338,145.452
2022/10/26,150.960007,147.156,143.992,147.021,145.915,145.009,147.626
2022/10/27,148.070007,149.518,146.45,149.402,148.467,147.625,149.924
2022/10/28,148.199997,149.548,147.226,149.701,148.846,148.054,150.506
2022/10/31,153.160004,148.764,146.802,148.884,147.975,147.205,149.99
2022/11/01,155.080002,150.02,147.46,149.632,148.602,147.878,150.678
2022/11/02,148.949997,152.45,149.343,151.722,150.668,150.128,152.571
2022/11/03,142.059998,151.798,149.407,151.437,150.494,150.196,152.556
2022/11/04,142.089996,147.797,146.414,147.845,146.984,146.741,149.522
2022/11/07,137.110001,144.32,142.893,144.222,143.298,142.934,146.117
2022/11/08,140.410004,140.995,139.258,140.768,139.767,139.387,142.702
2022/11/09,138.5,139.897,137.337,139.432,138.395,137.951,141.112
2022/11/10,141.240005,139.662,136.647,139.261,138.263,137.71,140.657
2022/11/11,145.820007,140.485,137.266,140.282,139.284,138.472,141.377
2022/11/14,148.970001,142.92,139.525,142.858,141.731,140.626,143.595
2022/11/15,152.220001,146.076,142.804,146.187,144.857,143.618,146.664
2022/11/16,149.130005,149.139,146.282,149.416,147.916,146.736,149.832
2022/11/17,146.429993,149.482,147.629,150.068,148.552,147.649,150.902
2022/11/18,152.309998,147.599,146.519,148.269,146.866,146.225,149.675
2022/11/21,150.160004,147.986,146.283,148.044,146.78,146.232,149.514
2022/11/22,148.130005,148.644,146.46,148.364,147.38,146.994,149.784
2022/11/23,149.449997,148.306,146.161,148.064,147.425,147.068,149.53
2022/11/25,148.309998,148.299,146.019,148,147.57,147.029,149.435
2022/11/28,145.139999,148.209,145.836,147.883,147.477,146.772,149.291
2022/11/29,144.289993,147.02,144.836,146.809,146.318,145.562,148.32
2022/11/30,141.399994,145.588,143.44,145.402,144.773,143.996,146.993
2022/12/01,148.210007,143.726,141.61,143.59,142.841,142.089,145.256
2022/12/02,145.960007,144.703,141.805,144.249,143.377,142.557,145.631
2022/12/05,147.770004,145.875,142.779,145.476,144.574,143.773,146.644
2022/12/06,147.070007,146.915,144.019,146.735,145.827,144.96,147.806
2022/12/07,142.190002,147.151,144.709,147.224,146.26,145.334,148.369
2022/12/08,142.360001,145.183,143.491,145.572,144.543,143.675,147.047
2022/12/09,142.339996,143.144,141.61,143.515,142.417,141.598,145.187
2022/12/12,142.699997,142.023,140.143,142.188,141.077,140.335,143.846
2022/12/13,149.5,141.881,139.543,141.884,140.868,140.171,143.39
2022/12/14,145.350006,144.561,141.382,144.276,143.386,142.565,145.341
2022/12/15,141.110001,145.923,143.042,145.936,145.174,144.268,146.881
2022/12/16,136.690002,144.343,142.469,144.87,144.13,143.139,146.127
2022/12/19,135.110001,140.83,139.692,141.617,140.785,139.748,143.274
2022/12/20,131.389999,137.493,136.321,138.171,137.213,136.194,140.002
2022/12/21,132.979996,134.448,132.944,134.983,134.003,133.075,136.831
2022/12/22,134.350006,133.008,130.818,133.339,132.446,131.512,134.998
2022/12/23,130.919998,133.318,130.418,133.515,132.764,131.687,134.849
2022/12/27,131.380005,133.172,130.298,133.614,132.975,131.676,134.766
2022/12/28,129.669998,132.664,130.089,133.421,132.747,131.183,134.494
2022/12/29,127.989998,131.647,129.431,132.662,131.836,130.13,133.748
2022/12/30,128.410004,130.177,128.243,131.352,130.367,128.672,132.502
2023/01/03,130.279999,129.077,127.131,130.245,129.166,127.557,131.401
2023/01/04,126.889999,129.129,126.852,130.132,129.062,127.543,131.184
2023/01/05,127.129997,128.741,126.478,129.768,128.821,127.379,130.79
2023/01/06,126.010002,128.114,125.96,129.21,128.397,126.924,130.227
2023/01/09,130.470001,127.328,125.263,128.469,127.738,126.2,129.489
2023/01/10,130.259995,128.051,125.607,128.981,128.268,126.658,129.858
2023/01/11,131.25,129.414,126.679,130.171,129.466,127.887,130.894
2023/01/12,133.880005,130.741,127.99,131.449,130.755,129.24,132.084
