Date,Actual Price,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3),Predicted Price (run 4),Predicted Price (run 5),Predicted Price (run 6)
2022/08/11,290.8500061,286.3307,290.04996,287.79123,287.24207,289.87167,283.44092
2022/08/12,288.480011,289.04636,292.15115,290.29913,289.61734,292.4897,286.01266
2022/08/15,291,287.51645,290.1918,288.4687,287.7137,290.53134,284.15945
2022/08/16,291.9899902,289.8391,293.72116,290.98712,290.17667,292.9439,286.41797
2022/08/17,289.7399902,290.86267,294.1458,291.9445,291.11267,293.9643,287.33304
2022/08/18,290.1900024,289.1558,292.14038,290.06543,289.23428,292.0519,285.45187
2022/08/19,288.8999939,289.54947,293.1711,290.58817,289.75162,292.5109,285.8475
2022/08/22,282.0799866,288.44522,291.72122,289.43097,288.60266,291.36737,284.6994
2022/08/23,276.4400024,282.76532,285.81912,283.48166,282.7261,285.3481,278.83228
2022/08/24,275.4100037,277.6845,281.3681,278.4609,277.83,280.20755,273.7658
2022/08/25,277.3299866,275.98117,279.8635,277.07077,276.52438,278.7989,272.3503
2022/08/26,279.0799866,276.90958,280.4637,278.2829,277.70807,280.0195,273.6414
2022/08/29,265.8500061,278.1987,281.5526,279.6556,278.97812,281.34808,275.1341
2022/08/30,266.6700134,268.03885,270.9027,268.7056,268.08975,270.2589,264.50198
2022/08/31,265.3900146,267.20676,271.71576,268.50943,268.02832,269.87775,264.0065
2022/09/01,258.8699951,265.88602,269.92377,267.1661,266.7412,268.6604,262.8043
2022/09/02,261.7000122,260.58252,263.67133,261.60367,261.26328,263.0747,257.51248
2022/09/06,256.2000122,261.5834,265.87173,263.11694,262.82162,264.55563,258.95746
2022/09/07,254.6999969,257.62363,261.11316,258.7699,258.5156,260.249,254.8894
2022/09/08,257.5100098,255.60947,259.3018,256.93704,256.76303,258.36545,253.10088
2022/09/09,260.5,257.21518,261.46866,258.81873,258.668,260.31204,254.9952
2022/09/12,265.7799988,259.80884,263.48352,261.43237,261.26105,263.0263,257.7397
2022/09/13,258.8399963,264.41696,268.06015,266.12332,265.88852,267.79883,262.50754
2022/09/14,253.5299988,260.24612,263.27454,261.17728,260.9981,262.88684,257.8467
2022/09/15,249.7700043,255.6088,259.3238,256.48492,256.4558,258.13147,253.111
2022/09/16,244.2599945,251.83508,256.02002,252.79694,252.94182,254.51755,249.38576
2022/09/19,242.4700012,246.85098,250.53244,247.78389,248.08371,249.57742,244.48341
2022/09/20,242.0700073,244.06523,247.93288,245.30533,245.70259,247.12604,242.03
2022/09/21,244.2700043,242.8746,246.74226,244.34244,244.75485,246.17369,241.13242
2022/09/22,237.8699951,243.97404,247.73802,245.69118,246.05893,247.50362,242.53304
2022/09/23,239.5399933,239.82094,242.98409,241.09866,241.4456,242.8009,238.18605
2022/09/26,237.0500031,239.56873,243.59303,241.28859,241.64656,242.87622,238.26004
2022/09/27,239.9799957,237.9,241.7263,239.46982,239.83363,241.03326,236.5221
2022/09/28,236.8099976,239.34642,243.23753,241.19707,241.56499,242.76244,238.206
2022/09/29,238.8899994,237.72208,241.16487,239.23076,239.60555,240.80066,236.40068
2022/09/30,238.2899933,238.55455,242.31128,240.2953,240.6884,241.86102,237.41946
2022/10/03,235.4100037,238.50165,242.09576,240.10017,240.50745,241.70876,237.29347
2022/10/04,245.0899963,236.48897,239.76181,237.89105,238.34262,239.50243,235.17491
2022/10/05,245.9900055,242.50555,246.76784,244.63472,245.07059,246.34341,241.69675
2022/10/06,247.9299927,245.18263,248.29575,246.80956,247.19957,248.65588,244.06667
2022/10/07,240.8999939,247.22313,250.1893,248.7323,249.0909,250.59592,246.03595
2022/10/10,233.0500031,242.87704,245.80049,243.78986,244.1996,245.62355,241.22507
2022/10/11,227.6199951,236.12952,239.32935,236.92784,237.46951,238.66681,234.31519
2022/10/12,225.3999939,230.278,233.98001,231.316,231.99797,233.0189,228.57123
2022/10/13,219.8500061,226.77904,230.52632,228.18977,228.95374,229.90616,225.3466
2022/10/14,235.5399933,221.97385,225.16634,223.3855,224.15973,225.0404,220.63116
2022/10/17,235.8200073,230.34879,234.9509,233.1744,233.87117,234.8762,230.0735
2022/10/18,243.2400055,234.11377,236.89305,236.1805,236.68452,237.89706,233.41821
2022/10/19,237.0399933,240.17603,243.09093,242.40295,242.74417,244.01247,239.67603
2022/10/20,235.7700043,237.91664,240.59885,239.24641,239.55096,240.77126,236.7525
