Date,Actual,Predicted (Run 1),Predicted (Run 2),Predicted (Run 3),Predicted (Run 4),Predicted (Run 5),Predicted (Run 6)
2022/08/11,290.850006,277.106,278.49,279.336,288.202,285.61,284.465
2022/08/12,288.480011,280.355,281.805,282.861,291.587,289.109,287.641
2022/08/15,291,282.121,283.485,284.229,293.365,290.805,289.688
2022/08/16,291.98999,283.11,284.37,284.902,294.43,291.796,290.974
2022/08/17,289.73999,283.855,285.031,285.576,295.286,292.634,291.912
2022/08/18,290.190002,283.597,284.711,285.193,295.082,292.405,291.845
2022/08/19,288.899994,283.095,284.224,284.731,294.644,292.011,291.419
2022/08/22,282.079987,282.395,283.57,284.097,293.974,291.418,290.734
2022/08/23,276.440002,279.815,280.992,281.195,291.303,288.758,288.321
2022/08/24,275.410004,275.543,276.719,276.576,286.916,284.421,284.217
2022/08/25,277.329987,271.778,273.006,272.965,283.096,280.791,280.332
2022/08/26,279.079987,270.334,271.65,272.142,281.601,279.571,278.44
2022/08/29,265.850006,271.115,272.475,273.465,282.249,280.425,278.733
2022/08/30,266.670013,268.692,269.852,270.233,279.44,277.456,276.505
2022/08/31,265.390015,265.228,266.166,266.195,275.737,273.672,273.21
2022/09/01,258.869995,262.412,263.165,263.385,272.781,270.756,270.288
2022/09/02,261.700012,259.189,259.787,260.15,269.347,267.337,266.938
2022/09/06,256.200012,257.37,257.928,258.666,267.382,265.453,264.765
2022/09/07,254.699997,255.542,256.069,256.891,265.345,263.417,262.691
2022/09/08,257.51001,253.626,254.118,254.884,263.237,261.274,260.608
2022/09/09,260.5,253.022,253.498,254.448,262.531,260.568,259.716
2022/09/12,265.779999,254.25,254.716,256.01,263.709,261.734,260.589
2022/09/13,258.839996,257.463,257.913,259.575,266.92,264.886,263.482
2022/09/14,253.529999,258.612,258.921,260.18,267.974,265.657,264.852
2022/09/15,249.770004,256.459,256.594,257.135,265.731,263.118,263.193
2022/09/16,244.259995,252.431,252.501,252.63,261.694,258.971,259.484
2022/09/19,242.470001,247.592,247.753,247.781,256.861,254.201,254.674
2022/09/20,242.070007,243.485,243.904,244.114,252.771,250.289,250.251
2022/09/21,244.270004,241.047,241.816,242.32,250.328,248.04,247.261
2022/09/22,237.869995,240.805,241.906,242.699,250.059,247.898,246.385
2022/09/23,239.539993,240.146,241.408,241.928,249.27,247.039,245.486
2022/09/26,237.050003,239.422,240.691,240.919,248.44,246.082,244.671
2022/09/27,239.979996,238.375,239.537,239.55,247.285,244.782,243.61
2022/09/28,236.809998,238.133,239.179,239.293,246.973,244.378,243.225
2022/09/29,238.889999,237.748,238.695,238.837,246.489,243.79,242.757
2022/09/30,238.289993,237.707,238.613,238.826,246.378,243.607,242.596
2022/10/03,235.410004,237.79,238.698,238.931,246.403,243.575,242.583
2022/10/04,245.089996,237.13,238.057,238.118,245.678,242.784,241.947
2022/10/05,245.990005,238.569,239.571,239.951,247.162,244.308,243.119
2022/10/06,247.929993,241.379,242.459,243.131,250.018,247.176,245.702
2022/10/07,240.899994,244.302,245.423,246.088,252.992,250.075,248.64
2022/10/10,233.050003,244.364,245.446,245.493,253.049,249.944,249.157
2022/10/11,227.619995,240.67,241.7,240.912,249.308,246.075,246.084
2022/10/12,225.399994,234.865,235.928,234.64,243.46,240.303,240.645
2022/10/13,219.850006,229.351,230.577,229.343,237.914,235.012,235.017
2022/10/14,235.539993,224.53,226.013,224.992,232.996,230.38,229.811
2022/10/17,235.820007,224.95,226.74,226.729,233.377,231.085,229.198
2022/10/18,243.240005,228.971,230.976,231.711,237.298,235.125,232.344
2022/10/19,237.039993,235.025,237.024,237.999,243.287,240.983,238.043
2022/10/20,235.770004,238.436,240.132,240.414,246.639,243.905,241.984
2022/10/21,234.740005,238.5,239.755,239.244,246.67,243.53,242.868
2022/10/24,243.759995,236.689,237.575,236.744,244.841,241.531,241.634
2022/10/25,247.259995,236.967,237.707,237.505,245.185,241.996,241.813
2022/10/26,231.169998,239.748,240.563,241.211,248.031,245.047,244.204
2022/10/27,231.039993,238.753,239.712,239.809,246.952,243.933,243.535
2022/10/28,226.240005,235.183,236.297,235.664,243.349,240.351,240.382
2022/10/31,233.759995,230.553,231.803,230.78,238.703,235.856,235.949
2022/11/01,234.600006,228.643,230.042,229.513,236.835,234.27,233.635
2022/11/02,229.460007,229.498,231.045,231.221,237.685,235.342,233.898
2022/11/03,220.089996,230.112,231.737,231.932,238.218,235.868,234.342
2022/11/04,217.550003,227.637,229.204,228.677,235.596,233.076,232.231
2022/11/07,221.990005,223.286,224.713,223.611,231.101,228.501,228.223
2022/11/08,228.699997,220.391,221.675,220.793,228.092,225.585,225.164
2022/11/09,227.369995,221.168,222.365,222.39,228.763,226.416,225.291
2022/11/10,235.429993,223.652,224.804,225.412,231.119,228.79,227.302
2022/11/11,242.990005,227.788,228.872,229.836,235.206,232.786,231.179
2022/11/14,241.990005,233.568,234.508,235.753,241.032,238.465,236.905
2022/11/15,245.660004,238.216,238.92,239.947,245.766,242.93,241.969
2022/11/16,242.789993,241.411,241.871,242.608,249.105,246.032,245.737
2022/11/17,237.779999,242.247,242.539,242.908,250.079,246.847,247.196
2022/11/18,243.509995,240.329,240.597,240.544,248.26,244.999,245.833
2022/11/21,241.429993,239.058,239.486,239.627,247.163,244.095,244.607
2022/11/22,243.589996,238.524,239.24,239.671,246.772,243.949,243.901
2022/11/23,245.110001,238.987,240.032,240.675,247.358,244.75,244.129
2022/11/25,247.309998,240.224,241.536,242.228,248.701,246.224,245.212
2022/11/28,246.080002,241.995,243.442,244.082,250.565,248.128,246.955
2022/11/29,241.399994,243.128,244.564,244.957,251.753,249.256,248.276
2022/11/30,240.570007,242.218,243.542,243.464,250.835,248.217,247.761
2022/12/01,253.869995,240.19,241.392,241.061,248.787,246.131,246.01
2022/12/02,249.820007,241.801,242.959,243.411,250.478,248.003,247.243
2022/12/05,252.009995,244.416,245.567,246.461,253.085,250.682,249.627
2022/12/06,250.820007,246.698,247.829,248.67,255.352,252.896,251.976
2022/12/07,244.830002,247.641,248.691,249.184,256.293,253.721,253.229
2022/12/08,244.839996,245.985,246.906,246.847,254.606,251.912,252.054
2022/12/09,244.699997,243.449,244.287,244.053,252.072,249.405,249.77
2022/12/12,247.449997,241.5,242.344,242.345,250.136,247.617,247.751
2022/12/13,261.690002,241.314,242.25,242.746,249.965,247.64,247.232
2022/12/14,257.130005,246.005,247.09,248.626,254.751,252.678,251.216
2022/12/15,253.720001,250.828,251.943,253.527,259.584,257.452,255.972
2022/12/16,248.550003,252.394,253.347,254.109,261.137,258.693,258.143
2022/12/19,244.860001,250.25,250.953,250.846,258.987,256.27,256.766
2022/12/20,239.399994,246.141,246.667,246.205,254.895,252.131,253.118
2022/12/21,241.690002,241.232,241.741,241.315,249.969,247.35,248.297
2022/12/22,241.259995,238.066,238.74,238.831,246.803,244.468,244.722
2022/12/23,236.110001,236.958,237.892,238.508,245.652,243.574,243.015
