Date,Actual Price,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3),Predicted Price (run 4),Predicted Price (run 5),Predicted Price (run 6)
2022/08/11,244.679993,238.499,232.121,243.885,226.338,238.893,228.755
2022/08/12,244.809998,245.535,239.579,251.021,233.945,246.048,236.298
2022/08/15,248.110001,248.069,242.668,253.713,237.086,248.988,239.237
2022/08/16,247.160004,250.018,245.195,255.913,239.671,251.409,241.652
2022/08/17,241.179993,250.012,245.161,255.781,239.738,251.492,241.625
2022/08/18,241.960007,245.486,240.487,251.132,235.064,247.084,236.906
2022/08/19,240.949997,243.786,238.499,249.318,233.12,245.285,235.075
2022/08/22,232.550003,243.391,237.511,248.564,232.207,244.474,234.321
2022/08/23,226.460007,237.748,231.706,242.876,226.309,238.861,228.428
2022/08/24,225.660004,230.833,224.816,236.18,219.297,232.144,221.386
2022/08/25,230.240005,228.184,221.671,233.407,216.176,229.142,218.365
2022/08/26,233.630005,231.442,224.393,236.378,219.007,231.785,221.396
2022/08/29,221.929993,235.89,228.914,240.821,223.577,236.028,226.015
2022/08/30,226.660004,229.56,223.242,234.915,217.712,230.307,219.797
2022/08/31,227,228.216,222.489,234.139,216.933,229.404,218.891
2022/09/01,220.720001,229.652,223.286,235.186,217.87,230.274,219.876
2022/09/02,231.029999,226.216,219.653,231.612,214.158,226.711,216.126
2022/09/06,225.589996,230.637,224.336,236.286,218.874,231.141,221.025
2022/09/07,220.210007,230.485,223.968,235.905,218.464,230.799,220.611
2022/09/08,224.160004,225.387,219.34,231.14,213.624,226.168,215.64
2022/09/09,229.619995,225.45,219.401,231.326,213.679,226.228,215.782
2022/09/12,233.610001,230.466,223.881,235.944,218.271,230.664,220.594
2022/09/13,226.5,235.533,229.028,240.904,223.422,235.602,225.837
2022/09/14,219.820007,232.218,226.325,237.887,220.534,232.881,222.74
2022/09/15,230.470001,224.907,219.449,230.969,213.49,226.18,215.481
2022/09/16,231.220001,229.057,223.079,234.894,217.303,229.849,219.526
2022/09/19,245.050003,233.642,226.811,238.78,221.174,233.637,223.606
2022/09/20,240.369995,243.84,237.599,249.201,232.03,243.94,234.594
2022/09/21,242.669998,245.122,239.565,250.695,233.93,245.774,236.243
2022/09/22,235.350006,244.906,240.307,251.021,234.602,246.39,236.652
2022/09/23,235.139999,240.036,235.22,245.985,229.545,241.644,231.416
2022/09/26,225.600006,237.371,232.082,243.084,226.471,238.782,228.409
2022/09/27,228.630005,230.844,224.787,236.168,219.165,231.919,221.188
2022/09/28,229.690002,229.833,223.424,235.103,217.799,230.65,220.068
