Date,Actual,Predicted (Run 1),Predicted (Run 2),Predicted (Run 3),Predicted (Run 4),Predicted (Run 5),Predicted (Run 6)
2022/08/11,181.309998,181.19,174.051,180.217,184.572,175.842,174.254
2022/08/12,181.600006,181.677,174.887,179.928,184.791,175.901,174.27
2022/08/15,187.009995,183.444,177.146,181.278,186.575,177.52,175.868
2022/08/16,189.199997,186.57,180.61,184.194,189.851,180.652,179.047
2022/08/17,185.229996,190.005,184.146,187.685,193.548,184.264,182.725
2022/08/18,183.009995,191.197,185.113,189.39,195.095,185.849,184.33
2022/08/19,184.059998,190.368,183.856,189.032,194.454,185.309,183.78
2022/08/22,174.899994,189.453,182.634,188.15,193.48,184.387,182.827
2022/08/23,169.889999,186.347,179.301,185.269,190.327,181.35,179.682
2022/08/24,170.119995,181.768,174.485,180.838,185.575,176.769,174.976
2022/08/25,168.440002,177.989,170.66,176.81,181.486,172.798,170.899
2022/08/26,178.570007,175.308,168.17,173.754,178.548,169.935,167.947
2022/08/29,160.199997,176.482,169.848,174.144,179.492,170.792,168.824
2022/08/30,159.600006,174.385,167.908,172.415,177.606,169.105,167.03
2022/08/31,153.839996,170.526,163.768,168.988,173.81,165.653,163.522
2022/09/01,142.089996,165.772,158.673,164.444,168.941,161.183,158.998
2022/09/02,141,159.228,151.806,158.122,162.194,154.925,152.636
2022/09/06,137.309998,152.989,145.461,151.785,155.642,148.815,146.446
2022/09/07,135.630005,147.772,140.429,146.266,150.127,143.676,141.243
2022/09/08,134.589996,143.874,136.924,142.001,146.012,139.893,137.415
2022/09/09,141.570007,141.263,134.774,139.06,143.276,137.482,134.98
2022/09/12,143.690002,141.254,135.326,138.585,143.211,137.669,135.219
2022/09/13,138.020004,143.343,137.961,140.29,145.351,140.027,137.642
2022/09/14,132.539993,144.692,139.494,141.765,146.842,141.818,139.428
2022/09/15,130.149994,143.765,138.293,141.34,145.982,141.342,138.94
2022/09/16,127.419998,141.302,135.392,139.316,143.412,139.156,136.789
2022/09/19,130.119995,138.234,132.007,136.463,140.111,136.183,133.87
