Date,Open,High,Low,Close,Adj Close,Volume
2013/05/16,3.67,3.7075,3.645,3.6575,3.398484,30836800
2013/05/17,3.675,3.7425,3.6475,3.7175,3.454235,31211600
2013/05/20,3.7025,3.725,3.69,3.71,3.447266,23638000
2013/05/21,3.7125,3.745,3.67,3.73,3.483454,35778400
2013/05/22,3.745,3.745,3.585,3.6,3.362047,48040400
2013/05/23,3.5575,3.67,3.5475,3.6575,3.415747,39388400
2013/05/24,3.6375,3.6675,3.595,3.635,3.394733,28330400
2013/05/28,3.6625,3.6725,3.5975,3.6325,3.392399,27930000
2013/05/29,3.61,3.6325,3.595,3.61,3.371386,33505200
2013/05/30,3.605,3.695,3.595,3.6575,3.415747,28450400
2013/05/31,3.6375,3.69,3.6175,3.6175,3.37839,57750800
2013/06/03,3.6225,3.65,3.5375,3.6125,3.37372,44446800
2013/06/04,3.635,3.7,3.595,3.6175,3.37839,36367600
2013/06/05,3.6125,3.64,3.53,3.54,3.306012,46452000
2013/06/06,3.54,3.59,3.5375,3.5625,3.327026,34104400
2013/06/07,3.5875,3.635,3.5725,3.6125,3.37372,27458400
2013/06/10,3.6025,3.6325,3.5825,3.61,3.371386,22414800
2013/06/11,3.5625,3.6125,3.5425,3.5425,3.308347,29633600
2013/06/12,3.56,3.59,3.4925,3.5125,3.280331,31258800
2013/06/13,3.5,3.61,3.4975,3.5925,3.355042,23625600
2013/06/14,3.605,3.61,3.5625,3.5875,3.350373,23601200
2013/06/17,3.615,3.655,3.595,3.6225,3.38306,25533600
2013/06/18,3.64,3.68,3.57,3.6,3.362047,48677200
2013/06/19,3.6325,3.87,3.62,3.71,3.464776,115958800
2013/06/20,3.68,3.685,3.585,3.61,3.371386,62869600
2013/06/21,3.63,3.6425,3.545,3.605,3.366716,71422800
2013/06/24,3.5525,3.5975,3.4775,3.53,3.296674,58077200
2013/06/25,3.5675,3.575,3.5175,3.555,3.320021,45736000
2013/06/26,3.595,3.6,3.52,3.535,3.301344,57975200
2013/06/27,3.545,3.55,3.465,3.5025,3.270992,80803600
2013/06/28,3.5025,3.545,3.4575,3.51,3.277996,43153600
2013/07/01,3.535,3.5425,3.5025,3.525,3.292005,19952400
2013/07/02,3.505,3.575,3.49,3.5225,3.28967,25639200
2013/07/03,3.4925,3.575,3.4925,3.5325,3.299009,14038800
2013/07/05,3.5425,3.5675,3.52,3.56,3.32469,18468400
2013/07/08,3.57,3.5875,3.5225,3.5425,3.308347,26208400
2013/07/09,3.55,3.5825,3.54,3.56,3.32469,15736400
2013/07/10,3.56,3.6175,3.55,3.6075,3.369051,20846800
2013/07/11,3.6275,3.6625,3.62,3.6575,3.415747,23983200
2013/07/12,3.65,3.695,3.6375,3.66,3.418082,21636000
2013/07/15,3.6675,3.6675,3.595,3.6525,3.411077,20133200
2013/07/16,3.6675,3.6925,3.65,3.6725,3.429754,16256000
2013/07/17,3.6725,3.685,3.6425,3.6525,3.411077,16610000
2013/07/18,3.6475,3.66,3.59,3.6375,3.397068,34448800
2013/07/19,3.615,3.6325,3.5225,3.56,3.32469,48053200
2013/07/22,3.5875,3.62,3.5425,3.5575,3.322356,29238400
2013/07/23,3.6025,3.6025,3.535,3.5525,3.317686,24679200
2013/07/24,3.585,3.595,3.5475,3.5525,3.317686,28425200
2013/07/25,3.55,3.6125,3.525,3.565,3.329361,24332000
2013/07/26,3.5225,3.5725,3.5225,3.55,3.315352,22736000
2013/07/29,3.5425,3.5875,3.5325,3.5425,3.308347,17954000
2013/07/30,3.555,3.65,3.5525,3.6025,3.364381,26607600
2013/07/31,3.585,3.645,3.5825,3.61,3.371386,27016000
2013/08/01,3.6225,3.6675,3.58,3.66,3.418082,27764800
2013/08/02,3.6525,3.6975,3.6275,3.69,3.446099,20962800
2013/08/05,3.68,3.72,3.66,3.7075,3.462442,18518800
2013/08/06,3.71,3.7175,3.645,3.6525,3.411077,20660800
2013/08/07,3.6325,3.6875,3.63,3.65,3.408742,24438000
2013/08/08,3.67,3.6925,3.6275,3.675,3.43209,34569600
2013/08/09,3.53,3.6775,3.5275,3.6225,3.38306,90622400
2013/08/12,3.475,3.645,3.2775,3.5925,3.355042,25756800
2013/08/13,3.5975,3.62,3.575,3.605,3.366716,19746800
2013/08/14,3.5975,3.78,3.595,3.7575,3.509137,82850800
2013/08/15,3.7175,3.8125,3.7025,3.7825,3.532485,72361600
2013/08/16,3.775,3.85,3.7675,3.7975,3.546493,66045600
2013/08/19,3.775,3.7875,3.735,3.7375,3.490459,39343200
2013/08/20,3.7175,3.7625,3.7125,3.7375,3.508057,23419200
2013/08/21,3.715,3.7625,3.705,3.72,3.491632,26154000
2013/08/22,3.7175,3.775,3.7175,3.74,3.510404,12901600
2013/08/23,3.745,3.775,3.7325,3.74,3.510404,24512000
2013/08/26,3.7425,3.7575,3.7325,3.7475,3.517443,30015200
2013/08/27,3.7125,3.7375,3.6875,3.7,3.47286,27746400
2013/08/28,3.7075,3.735,3.685,3.7,3.47286,31882400
2013/08/29,3.6875,3.7275,3.6775,3.6925,3.46582,27621600
2013/08/30,3.695,3.705,3.67,3.6875,3.461127,37812000
2013/09/03,3.6975,3.7425,3.6675,3.69,3.463474,28468000
2013/09/04,3.69,3.7475,3.685,3.725,3.496325,22208000
2013/09/05,3.71,3.75,3.7075,3.735,3.505711,17490400
2013/09/06,3.7375,3.7575,3.6925,3.72,3.491632,22675600
2013/09/09,3.75,3.7825,3.74,3.7825,3.550296,24640800
2013/09/10,3.81,3.865,3.7925,3.8625,3.625384,29213200
2013/09/11,3.8575,3.9375,3.83,3.9275,3.686394,39616400
2013/09/12,3.9075,3.975,3.9075,3.925,3.684047,30380800
2013/09/13,3.9375,3.9675,3.91,3.95,3.707512,15969600
2013/09/16,3.9825,4.01,3.9375,3.9525,3.709859,23141200
2013/09/17,3.9675,3.9975,3.95,3.965,3.721592,16860800
2013/09/18,3.9675,4.01,3.9475,4,3.754443,26816800
2013/09/19,4.0175,4.025,3.965,3.9825,3.738018,22757200
2013/09/20,3.9925,4.0175,3.94,3.9475,3.705166,35603600
2013/09/23,3.945,3.9775,3.8875,3.91,3.669969,27124400
2013/09/24,3.9125,3.94,3.89,3.925,3.684047,22973200
2013/09/25,3.9175,3.96,3.9,3.93,3.68874,23315600
2013/09/26,3.94,3.9475,3.895,3.9175,3.677008,14881600
2013/09/27,3.8875,3.92,3.8725,3.895,3.655888,15192000
2013/09/30,3.855,3.9175,3.8325,3.89,3.651196,22664000
2013/10/01,3.895,3.9125,3.865,3.8875,3.648849,22697600
2013/10/02,3.8475,3.9,3.8475,3.885,3.646502,16203600
2013/10/03,3.8875,3.9225,3.8275,3.845,3.608959,43676800
2013/10/04,3.84,3.93,3.83,3.8975,3.658235,24622800
2013/10/07,3.8825,3.925,3.8625,3.8975,3.658235,16995200
2013/10/08,3.8875,3.9425,3.835,3.865,3.62773,29071200
2013/10/09,3.89,3.8925,3.785,3.805,3.571414,27586000
2013/10/10,3.8325,3.8575,3.805,3.8475,3.611304,22348400
2013/10/11,3.7875,3.835,3.775,3.815,3.5808,21370400
2013/10/14,3.805,3.8725,3.805,3.8725,3.63477,16662800
2013/10/15,3.8725,3.895,3.85,3.8525,3.615998,20882000
2013/10/16,3.875,3.915,3.87,3.9,3.660582,21007200
2013/10/17,3.87,3.9175,3.87,3.9075,3.667622,21332400
2013/10/18,3.9,3.965,3.885,3.9525,3.709859,25506800
2013/10/21,4,4.0025,3.95,3.9625,3.719245,19500800
2013/10/22,3.9625,3.965,3.9075,3.9425,3.700473,17945200
2013/10/23,3.935,3.935,3.8625,3.875,3.637116,25221600
2013/10/24,3.885,3.91,3.84,3.8475,3.611304,23643600
2013/10/25,3.8675,3.87,3.7975,3.81,3.576107,33049200
2013/10/28,3.805,3.8225,3.75,3.8025,3.569067,39402400
2013/10/29,3.7975,3.815,3.7625,3.8075,3.573761,38795200
2013/10/30,3.82,3.8375,3.7725,3.805,3.571414,20403200
2013/10/31,3.81,3.8375,3.79,3.7975,3.564374,29336800
2013/11/01,3.8175,3.8325,3.7875,3.815,3.5808,20613600
2013/11/04,3.8275,3.8275,3.6975,3.705,3.477553,41026400
2013/11/05,3.6825,3.7175,3.6425,3.7,3.47286,42236800
2013/11/06,3.7,3.7275,3.6625,3.725,3.496325,19804400
2013/11/07,3.7125,3.7225,3.63,3.6375,3.414197,55307600
2013/11/08,3.75,3.9025,3.735,3.89,3.651196,73453200
2013/11/11,3.875,3.9325,3.8675,3.9225,3.6817,29762400
2013/11/12,3.94,3.9625,3.885,3.93,3.68874,31603200
2013/11/13,3.92,4.0375,3.9125,4.0375,3.789641,33279200
2013/11/14,4.025,4.08,4.0225,4.055,3.806066,30798000
2013/11/15,4.07,4.075,4.0025,4.0425,3.794335,45033200
2013/11/18,3.955,3.99,3.935,3.945,3.702819,31694800
2013/11/19,3.905,3.94,3.855,3.86,3.642658,20671600
2013/11/20,3.8625,3.8725,3.795,3.8025,3.588396,20477600
2013/11/21,3.8075,3.84,3.79,3.8325,3.616707,21356800
2013/11/22,3.8375,3.8375,3.7875,3.795,3.581319,15866800
2013/11/25,3.795,3.8825,3.795,3.8775,3.659173,24820800
2013/11/26,3.92,3.9525,3.895,3.91,3.689844,75317600
2013/11/27,3.9075,3.9375,3.8825,3.925,3.703999,18127200
2013/11/29,3.925,3.935,3.875,3.9,3.680406,11696400
2013/12/02,3.885,3.965,3.8775,3.9375,3.715795,37387200
2013/12/03,3.9375,3.99,3.91,3.935,3.713436,29056000
2013/12/04,3.925,3.9975,3.915,3.99,3.765339,49317600
2013/12/05,3.9975,3.9975,3.92,3.925,3.703999,27181200
2013/12/06,3.9725,3.9725,3.8575,3.8675,3.649736,28100000
2013/12/09,3.8675,3.88,3.795,3.8025,3.588396,38522000
2013/12/10,3.8025,3.9075,3.7975,3.89,3.67097,52426800
2013/12/11,3.8975,3.9025,3.845,3.8525,3.635581,41415600
2013/12/12,3.84,3.86,3.77,3.7775,3.564804,25872400
2013/12/13,3.785,3.8125,3.75,3.755,3.543571,18458800
2013/12/16,3.7575,3.7925,3.755,3.76,3.548289,23762000
2013/12/17,3.7575,3.7875,3.725,3.7775,3.564804,27410400
2013/12/18,3.785,3.8375,3.7375,3.83,3.614348,42623200
2013/12/19,3.825,3.85,3.8,3.845,3.628504,25854400
2013/12/20,3.8525,3.925,3.8425,3.9225,3.70164,38208000
2013/12/23,3.945,3.9775,3.9125,3.945,3.722872,16856800
2013/12/24,3.9675,3.9675,3.915,3.955,3.732311,7960000
2013/12/26,3.97,3.9825,3.9075,3.9175,3.696922,16892000
2013/12/27,3.9375,3.9475,3.915,3.94,3.718155,21097600
2013/12/30,3.9425,3.995,3.9375,3.9925,3.767698,24818000
2013/12/31,4,4.025,3.975,4.005,3.779495,23577600
2014/01/02,3.98,3.995,3.93,3.965,3.741747,26009200
2014/01/03,3.9725,3.98,3.905,3.9175,3.696922,25933200
2014/01/06,3.9575,4,3.92,3.97,3.746465,40949200
2014/01/07,4.01,4.05,3.9825,4.035,3.807805,33328800
2014/01/08,4.05,4.11,4.035,4.09,3.859708,30819200
2014/01/09,4.0275,4.035,3.925,3.9375,3.715795,29217200
2014/01/10,3.95,3.9775,3.8975,3.9325,3.711077,21849200
2014/01/13,3.9325,3.9575,3.8325,3.84,3.623785,24333200
2014/01/14,3.86,3.9675,3.8425,3.96,3.737029,24182800
2014/01/15,3.9775,4.0175,3.96,4.0025,3.777136,17504400
2014/01/16,4.0025,4.0225,3.985,4.015,3.788931,22065200
