Date,Open,High,Low,Close,Adj Close,Volume
2019/05/15,44.490002,46.52,44.43,46.279999,45.485691,6965600
2019/05/16,46.27,47.32,45.82,47.290001,46.478363,5798700
2019/05/17,46.810001,47.369999,46.299999,46.389999,45.593807,4280800
2019/05/20,45.650002,45.650002,43.330002,43.610001,42.861523,9204200
2019/05/21,43.970001,44.060001,43.400002,43.450001,42.704269,8279600
2019/05/22,42.939999,43.639999,42.830002,42.91,42.173534,7222900
2019/05/23,42.43,42.790001,41.950001,42.189999,41.465889,7390000
2019/05/24,42.459999,42.779999,41.84,42.290001,41.564178,5076100
2019/05/28,43.759998,44.700001,43.279999,43.509998,42.763237,12150000
2019/05/29,43.200001,44.16,42.84,43.990002,43.235001,9134300
2019/05/30,44.040001,44.48,43.16,43.560001,42.812382,5552900
2019/05/31,43.110001,43.779999,43.009998,43.369999,42.625637,5978700
2019/06/03,43.32,43.389999,42.099998,42.380001,41.65263,6711100
2019/06/04,42.98,43.639999,42.25,43.610001,42.861523,7621500
2019/06/05,43.77,44.68,43.490002,44.52,43.755905,5768800
2019/06/06,44.150002,44.740002,43.700001,44.080002,43.323456,4699000
2019/06/07,44.279999,45.630001,44.060001,45.380001,44.601143,6785800
2019/06/10,45.77,46.470001,45.200001,46.009998,45.220329,6405400
2019/06/11,46.490002,47.060001,46.189999,46.700001,45.898487,6679700
2019/06/12,46.459999,46.529999,44.970001,45.09,44.316124,6155400
2019/06/13,45.450001,46.110001,45.080002,46.049999,45.259644,6204700
2019/06/14,45.799999,45.959999,45.119999,45.619999,44.837025,4629400
2019/06/17,45.700001,45.950001,45,45.07,44.296467,7710000
2019/06/18,45.549999,46.48,45.330002,45.77,44.984447,6839000
2019/06/19,45.77,45.77,44.59,45.330002,44.552002,5441900
2019/06/20,45.990002,46.330002,45.450001,45.669998,44.886162,4574600
2019/06/21,45.529999,45.939999,45.189999,45.91,45.122044,7895500
2019/06/24,45.639999,47.209999,45.639999,47.150002,46.340767,7299700
2019/06/25,47.07,47.490002,45.66,46.200001,45.40707,8688600
2019/06/26,46.360001,47.470001,46.209999,46.73,45.927971,5328700
2019/06/27,47.09,47.57,46.52,47.279999,46.468533,6918600
2019/06/28,47.5,47.73,46.560001,47.200001,46.389908,15179000
2019/07/01,47.880001,48.459999,47.209999,47.5,46.684753,5122000
2019/07/02,47.959999,48.82,47.689999,47.98,47.156521,6682700
2019/07/03,48.049999,48.790001,47.73,48.66,47.824848,4024700
2019/07/05,48.330002,48.349998,46.639999,48.150002,47.323601,6379600
2019/07/08,47.799999,47.91,46.23,46.470001,45.672436,7680700
2019/07/09,46.169998,46.709999,45.73,46.369999,45.57415,4349600
2019/07/10,46.900002,47.369999,46.57,46.84,46.036087,4476200
2019/07/11,46.919998,47.580002,46.43,47.34,46.527504,5206200
2019/07/12,47.630001,47.669998,47.040001,47.200001,46.389908,3707600
2019/07/15,47.259998,47.849998,46.880001,47.66,46.842014,4361700
2019/07/16,47.610001,47.66,46.66,46.990002,46.183514,4876700
2019/07/17,46.919998,47.32,46.43,46.68,45.87883,4791100
2019/07/18,46.450001,46.5,45.490002,45.720001,44.93531,8157700
2019/07/19,46,46.110001,45.09,45.139999,44.365261,5514600
2019/07/22,45.330002,45.599998,44.810001,45.57,44.78788,3771800
2019/07/23,45.82,45.93,45.290001,45.919998,45.13187,3774300
2019/07/24,45.709999,46.990002,45.689999,46.860001,46.055744,3664200
2019/07/25,47.360001,47.400002,46.360001,47.189999,46.380077,4354000
2019/07/26,47.48,48.23,47.16,47.990002,47.166348,5839700
2019/07/29,48,48.529999,47.080002,48.450001,47.618454,4750900
2019/07/30,48.099998,48.360001,47.5,48.290001,47.461201,4905000
2019/07/31,48.790001,49.93,48.380001,48.740002,47.903477,8712300
2019/08/01,48.93,51.240002,48.810001,50.189999,49.32859,10901800
2019/08/02,49.799999,51.349998,48.650002,49.02,48.178669,9745000
2019/08/05,47.869999,47.950001,45.52,46.099998,45.308784,10855100
2019/08/06,47.450001,47.59,46.380001,46.59,45.790379,7171500
2019/08/07,46.110001,48.23,46.099998,48.099998,47.27446,7468500
2019/08/08,48.41,49.57,47.91,49.330002,48.483349,8935900
2019/08/09,48.759998,49.09,47.110001,48.060001,47.235149,10794000
2019/08/12,47.73,48.349998,46.950001,47.080002,46.271965,6292100
2019/08/13,46.990002,48.369999,46.470001,48.130001,47.303944,5225600
2019/08/14,47.09,47.27,45,45.259998,44.4832,9156200
2019/08/15,45.529999,45.73,44.91,45.509998,44.728912,6008900
2019/08/16,45.939999,47.169998,45.790001,46.66,45.859173,5767400
2019/08/19,47.549999,48.299999,47.279999,47.919998,47.097546,5522700
2019/08/20,47.669998,49.040001,47.5,48.799999,47.962448,5831300
2019/08/21,49.099998,49.540001,48.709999,49.040001,48.198326,4001800
2019/08/22,49.290001,49.290001,48.330002,49.080002,48.23764,4001800
2019/08/23,48.599998,49.380001,47.16,47.330002,46.517677,7125400
2019/08/26,47.990002,48.700001,47.529999,48.689999,47.854332,5194400
2019/08/27,50.5,52.220001,49.959999,51.09,50.213142,18223400
2019/08/28,50.630001,50.939999,49.540001,50.209999,49.348248,7232300
2019/08/29,51,51.43,50.259998,50.959999,50.085373,6268700
2019/08/30,51.290001,51.41,50.169998,50.599998,49.731552,5891500
2019/09/03,50.48,51.57,50.43,51.060001,50.183659,6268900
2019/09/04,52.060001,53.610001,52.009998,53.5,52.581776,9988100
2019/09/05,55.150002,56.599998,53.77,54.580002,53.643246,11780000
2019/09/06,54.669998,55.009998,54.259998,54.580002,53.643246,7034000
2019/09/09,55.25,55.549999,54.200001,55.189999,54.242771,9138700
2019/09/10,54.75,56.150002,54.279999,56.029999,55.068356,8427500
2019/09/11,56.540001,56.77,54.41,54.91,53.967575,9687300
2019/09/12,56.459999,57.52,55.139999,55.450001,54.498314,10921200
2019/09/13,55.639999,56.02,55.32,55.950001,54.989727,6401800
2019/09/16,55.18,55.939999,55.169998,55.779999,54.822647,6471300
2019/09/17,55.5,55.720001,54.77,55.349998,54.400028,6972100
2019/09/18,55.209999,55.23,54.130001,55.119999,54.173973,5433300
2019/09/19,55.43,55.560001,54.709999,55.009998,54.065865,4565200
2019/09/20,55.040001,55.48,54.52,54.759998,53.820156,7364900
2019/09/23,54.470001,54.740002,53.669998,54.18,53.250107,4502800
2019/09/24,54.610001,54.630001,53.41,53.959999,53.033886,8098400
2019/09/25,53.889999,55.040001,53.580002,54.939999,53.997063,5150700
2019/09/26,54.720001,55.07,54.16,54.220001,53.289421,6563300
2019/09/27,54.209999,54.720001,52.049999,52.330002,51.431862,7800800
2019/09/30,52.599998,53,52.310001,52.919998,52.011734,7128800
2019/10/01,53.34,53.549999,52.240002,52.900002,51.992081,9229100
2019/10/02,51.900002,52.540001,50.25,52.25,51.353233,13468300
2019/10/03,52.189999,54.77,52.07,54.07,53.141994,14558300
2019/10/04,54.75,55.490002,54.549999,55.439999,54.48848,8761100
2019/10/07,55.060001,55.889999,54.560001,55.41,54.459,6538100
2019/10/08,54.75,55.299999,54.099998,54.130001,53.200966,7182300
2019/10/09,53.759998,54.75,53.200001,53.43,52.512981,9050700
2019/10/10,52.93,53.84,51.450001,53.689999,52.768513,8700900
2019/10/11,54.349998,55.380001,54.150002,54.82,53.879124,8627100
2019/10/14,54.349998,55.200001,54.009998,55.009998,54.065865,5936000
2019/10/15,55.150002,55.599998,54.16,55.560001,54.606426,6826700
2019/10/16,55.400002,55.939999,55.139999,55.59,54.635906,5725700
2019/10/17,56,56.459999,55.509998,55.59,54.635906,5837200
2019/10/18,55.66,55.689999,53.380001,54.540001,53.603931,8530400
2019/10/21,55.25,55.82,54.73,55.509998,54.557281,5925300
2019/10/22,55.669998,55.720001,54.490002,54.52,53.584274,4353500
2019/10/23,54.560001,55.330002,54.349998,54.799999,53.85947,3341000
2019/10/24,55.18,55.740002,54.619999,55.439999,54.48848,5649100
2019/10/25,56.209999,56.279999,55.02,55.259998,54.311569,6320200
2019/10/28,55.990002,56.18,54.209999,54.560001,53.623589,7507600
2019/10/29,54.470001,54.630001,53.619999,54,53.0732,5680000
2019/10/30,55.25,55.950001,54.41,55.869999,54.911102,8537500
2019/10/31,55.93,56.07,54.740002,56.029999,55.068356,6621600
2019/11/01,56.209999,57.43,55.459999,55.82,54.861961,10202900
2019/11/04,55.560001,56.009998,54.169998,55.709999,54.753845,10345300
2019/11/05,55.799999,56.27,55.009998,55.540001,54.586773,5036300
2019/11/06,55.779999,56.59,55.470001,56.360001,55.392693,6239400
2019/11/07,56.75,56.82,54.349998,54.549999,53.613758,12512300
2019/11/08,53.5,54.84,52.650002,54.299999,53.368046,15898300
2019/11/11,53.849998,53.93,52.240002,52.52,51.618603,6826300
2019/11/12,52.700001,53.049999,51.689999,51.950001,51.05838,12564600
2019/11/13,51.599998,52.630001,51.459999,52.330002,51.431862,11542500
2019/11/14,52.32,52.98,52.099998,52.700001,51.795509,7185700
2019/11/15,53.150002,53.709999,52.700001,53.439999,52.522804,5326900
2019/11/18,53.43,53.450001,52.27,52.73,51.824993,6442300
2019/11/19,53.099998,53.380001,52.48,53.279999,52.365555,5092500
2019/11/20,53.240002,54.189999,53.150002,54.09,53.161652,7421100
