Date,Actual,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3),Predicted Price (run 4),Predicted Price (run 5),Predicted Price (run 6)
2022/08/11,81,80.1186,80.1181,81.0368,81.6052,80.7116,80.7523
2022/08/12,80.75,80.069,80.0626,80.9765,81.5448,80.6505,80.686
2022/08/15,80.599998,79.8934,79.8821,80.7908,81.3585,80.4747,80.4995
2022/08/16,80.809998,79.7519,79.7371,80.6499,81.2159,80.3401,80.3571
2022/08/17,80.760002,79.8561,79.8369,80.7594,81.3302,80.4561,80.476
2022/08/18,80.709999,79.8771,79.8622,80.808,81.3669,80.4631,80.4887
2022/08/19,80.330002,79.8582,79.8347,80.7823,81.3409,80.4305,80.4571
2022/08/22,79.830002,79.6142,79.5893,80.538,81.0855,80.171,80.19
2022/08/23,79.529999,79.2215,79.1932,80.1389,80.676,79.7715,79.7755
2022/08/24,79.360001,78.9082,78.8779,79.8218,80.354,79.4681,79.4578
2022/08/25,79.5,78.7093,78.6835,79.6372,80.1613,79.2782,79.2595
2022/08/26,79.419998,78.7384,78.7135,79.6723,80.1983,79.3163,79.2972
2022/08/29,78.550003,78.7001,78.683,79.6511,80.1691,79.2698,79.2503
2022/08/30,78.830002,78.1381,78.1287,79.105,79.5979,78.6781,78.6408
2022/08/31,78.980003,78.0924,78.0599,78.996,79.5184,78.6701,78.6187
2022/09/01,78.209999,78.1777,78.1662,79.1137,79.6292,78.7781,78.7264
2022/09/02,78.5,77.7313,77.7394,78.7164,79.1991,78.3019,78.2397
2022/09/06,77.589996,77.7292,77.7124,78.6539,79.1673,78.327,78.2552
2022/09/07,76.879997,77.1796,77.191,78.1599,78.6372,77.7632,77.6751
2022/09/08,77.620003,76.5408,76.5435,77.5091,77.9772,77.1218,77.0113
2022/09/09,77.57,76.7612,76.7476,77.6818,78.1823,77.4022,77.2888
2022/09/12,78.75,76.8464,76.8703,77.8395,78.3163,77.4835,77.3792
2022/09/13,77.489998,77.592,77.5977,78.535,79.0561,78.2448,78.1679
2022/09/14,77,77.0658,77.1131,78.0921,78.557,77.656,77.571
2022/09/15,76.5,76.5222,76.5313,77.4633,77.948,77.1118,77.0028
2022/09/16,76.709999,76.0182,76.034,76.9568,77.4326,76.6443,76.511
2022/09/19,75.849998,75.9817,76.0051,76.9331,77.4083,76.6484,76.5114
2022/09/20,76,75.493,75.5489,76.522,76.958,76.134,75.9911
2022/09/21,75.18,75.3917,75.4251,76.3758,76.8312,76.0405,75.8947
2022/09/22,75.309998,74.8879,74.9425,75.9085,76.337,75.5186,75.3619
2022/09/23,76.589996,74.7562,74.7951,75.7346,76.176,75.403,75.2408
2022/09/26,74.839996,75.492,75.529,76.4305,76.9104,76.1904,76.0481
2022/09/27,74.699997,74.7426,74.8479,75.82,76.2235,75.3661,75.2138
2022/09/28,74.860001,74.2852,74.3382,75.2581,75.6941,74.9127,74.7401
2022/09/29,75.190002,74.208,74.2653,75.1618,75.6081,74.893,74.7042
2022/09/30,74.900002,74.4016,74.4819,75.3867,75.8312,75.1153,74.9302
2022/10/03,74.410004,74.3134,74.4153,75.341,75.7729,75.0098,74.8259
2022/10/04,74.709999,73.9657,74.0612,74.9845,75.4156,74.6439,74.4509
2022/10/05,74.839996,73.9856,74.0615,74.9558,75.4091,74.6919,74.4937
2022/10/06,74.089996,74.0891,74.1801,75.0773,75.5288,74.8133,74.617
2022/10/07,73.589996,73.6916,73.8016,74.7245,75.1507,74.389,74.1867
2022/10/10,73.349998,73.2162,73.3113,74.2272,74.6523,73.9078,73.6917
2022/10/11,73.599998,72.8909,72.9822,73.8905,74.3137,73.6037,73.3738
2022/10/12,73.540001,72.9303,73.0264,73.9278,74.3548,73.6707,73.4393
2022/10/13,72.919998,72.9413,73.0577,73.9676,74.3874,73.679,73.4507
2022/10/14,73.440002,72.5808,72.7072,73.6258,74.0324,73.2907,73.0569
2022/10/17,72.800003,72.7043,72.8046,73.6847,74.1202,73.4384,73.2038
2022/10/18,72.230003,72.4071,72.5386,73.437,73.8486,73.1356,72.8914
2022/10/19,72.010002,71.9287,72.0578,72.9593,73.3611,72.6472,72.3898
2022/10/20,72.239998,71.5938,71.7165,72.6082,73.0109,72.333,72.0596
2022/10/21,72.93,71.6053,71.7324,72.6134,73.0223,72.3776,72.0976
2022/10/24,72.830002,72.037,72.1739,73.0399,73.4672,72.835,72.5645
2022/10/25,72.730003,72.1694,72.3309,73.2078,73.6314,72.9482,72.6846
2022/10/26,72.839996,72.1223,72.272,73.1406,73.5742,72.8827,72.6196
2022/10/27,72.360001,72.1344,72.2695,73.1229,73.5696,72.9069,72.64
2022/10/28,72.529999,71.8601,72.0054,72.8743,73.306,72.6335,72.3568
2022/10/31,72.93,71.8283,71.961,72.8238,73.2633,72.6207,72.3399
2022/11/01,73.260002,72.0713,72.2075,73.0666,73.5154,72.8869,72.6102
2022/11/02,73.860001,72.3848,72.5304,73.3924,73.8477,73.1997,72.9351
2022/11/03,72.5,72.8597,72.9985,73.8489,74.3247,73.6699,73.4234
2022/11/04,72.080002,72.2618,72.4229,73.3139,73.7492,73.0108,72.7578
2022/11/07,71.519997,71.7083,71.8256,72.7012,73.1415,72.4497,72.1813
2022/11/08,71.75,71.1835,71.3026,72.186,72.6066,71.9493,71.66
2022/11/09,71.860001,71.1286,71.2507,72.1333,72.5496,71.9284,71.6324
2022/11/10,72.599998,71.2293,71.3742,72.2626,72.6737,72.0344,71.7415
2022/11/11,73.75,71.7122,71.855,72.7194,73.1556,72.5178,72.2412
2022/11/14,74.360001,72.5882,72.7296,73.5595,74.0341,73.3993,73.15
