Date,Actual,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3),Predicted Price (run 4),Predicted Price (run 5),Predicted Price (run 6)
2022/08/11,35.639999,36.4522,36.5137,37.6786,36.9024,36.0684,36.8504
2022/08/12,35.799999,36.7785,36.7665,37.9816,37.2578,36.3042,37.1924
2022/08/15,36.099998,37.127,37.0839,38.3203,37.5902,36.6045,37.5428
2022/08/16,36.16,37.4591,37.4109,38.6651,37.9155,36.9147,37.8804
2022/08/17,35.810001,37.6151,37.6081,38.8555,38.0528,37.0875,38.0402
2022/08/18,35.68,37.4122,37.5103,38.7091,37.8231,36.9515,37.834
2022/08/19,35.799999,37.1365,37.2927,38.4619,37.536,36.6992,37.5486
2022/08/22,35,37.0518,37.178,38.3536,37.4432,36.5662,37.4504
2022/08/23,33.98,36.5998,36.7978,37.9143,36.9421,36.1605,36.9698
2022/08/24,33.970001,35.7688,36.0883,37.1322,36.0684,35.4227,36.104
2022/08/25,33.869999,35.3573,35.6239,36.6955,35.6691,34.9561,35.6814
2022/08/26,34.950001,35.278,35.4403,36.556,35.5839,34.7874,35.5951
2022/08/29,33.23,35.9705,35.8945,37.1428,36.3276,35.2875,36.316
2022/08/30,33.040001,35.5975,35.6961,36.8566,35.8704,35.0873,35.9349
2022/08/31,32.389999,35.103,35.3283,36.4694,35.4101,34.7114,35.4568
2022/09/01,31.57,34.5269,34.8417,35.9604,34.8253,34.2074,34.8769
2022/09/02,32.209999,33.8659,34.2633,35.3437,34.1481,33.6064,34.1928
2022/09/06,31.389999,33.9079,34.1633,35.3135,34.243,33.5108,34.244
2022/09/07,30.42,33.7789,34.0225,35.164,34.0657,33.3677,34.0944
2022/09/08,30.370001,33.283,33.6415,34.7347,33.5262,32.9723,33.5778
2022/09/09,31.190001,32.9724,33.3452,34.4558,33.2223,32.6692,33.2668
2022/09/12,31.74,33.3023,33.4961,34.7114,33.5957,32.8356,33.6193
2022/09/13,30.83,33.947,33.9581,35.2748,34.2529,33.3195,34.2832
2022/09/14,29.549999,33.9819,34.0979,35.3821,34.2324,33.4455,34.3303
2022/09/15,29.15,33.2555,33.6766,34.8516,33.4437,32.9757,33.6036
2022/09/16,28.700001,32.4795,33.0816,34.2068,32.6589,32.3351,32.8068
2022/09/19,29.02,31.907,32.5428,33.653,32.0656,31.7656,32.1892
2022/09/20,29.07,31.8599,32.3427,33.5034,32.0279,31.5658,32.1097
2022/09/21,29.15,32.0787,32.391,33.6052,32.2277,31.63,32.3058
2022/09/22,28.4,32.3614,32.5611,33.8221,32.4938,31.8196,32.5881
2022/09/23,27.9,32.266,32.5386,33.7807,32.3441,31.7958,32.4984
2022/09/26,27.559999,31.9134,32.3219,33.5361,31.9614,31.5653,32.1527
2022/09/27,27.4,31.5263,32.0272,33.2307,31.5583,31.2557,31.76
2022/09/28,26.860001,31.2699,31.7798,32.9938,31.2958,31.0008,31.4861
2022/09/29,26.780001,31.0023,31.5261,32.7314,30.9952,30.7402,31.1874
2022/09/30,26.299999,30.8569,31.3468,32.5636,30.8371,30.5636,31.0171
2022/10/03,26.33,30.6861,31.1685,32.3833,30.6277,30.3883,30.8201
2022/10/04,27.43,30.63,31.0665,32.3042,30.5604,30.2976,30.7504
2022/10/05,27.370001,31.0721,31.2872,32.6359,31.0473,30.5568,31.2045
2022/10/06,27.440001,31.5036,31.5941,33.0066,31.4645,30.8903,31.6486
2022/10/07,26.17,31.766,31.8536,33.2924,31.7226,31.1563,31.9396
