Date,Actual,Predicted (Run 1),Predicted (Run 2),Predicted (Run 3),Predicted (Run 4),Predicted (Run 5),Predicted (Run 6)
2022/08/11,244.679993,242.533,221.527,241.173,243.198,242.107,225.359
2022/08/12,244.809998,249.249,227.828,247.64,249.618,248.814,231.968
2022/08/15,248.110001,253.502,231.9,251.84,253.394,252.946,235.934
2022/08/16,247.160004,256.4,234.756,254.577,256.035,255.556,238.71
2022/08/17,241.179993,256.999,235.515,255.192,256.489,255.879,239.212
2022/08/18,241.960007,253.542,232.504,251.961,252.963,252.096,235.789
2022/08/19,240.949997,250.85,230.199,249.33,250.509,249.137,233.427
2022/08/22,232.550003,249.332,228.973,247.962,249.229,247.604,232.264
2022/08/23,226.460007,244.724,224.819,243.693,244.635,242.968,227.978
2022/08/24,225.660004,238.259,218.922,237.48,238.331,236.377,221.984
2022/08/25,230.240005,233.979,215.06,233.373,234.469,232.18,218.256
2022/08/26,233.630005,234.793,215.86,234.25,235.697,233.374,219.574
2022/08/29,221.929993,238.547,219.254,237.99,239.418,237.544,223.497
2022/08/30,226.660004,235.655,216.438,235.372,235.911,234.696,220.263
2022/08/31,227,234.022,214.836,233.492,234.333,232.902,218.661
2022/09/01,220.720001,233.962,214.711,233.424,234.37,233,218.386
2022/09/02,231.029999,231.336,212.187,231.048,231.596,230.479,215.418
2022/09/06,225.589996,234.001,214.562,233.364,234.58,233.257,218.176
2022/09/07,220.210007,234.724,215.143,234.192,235.126,234.207,218.519
2022/09/08,224.160004,231.659,212.237,231.209,231.92,231.053,215.233
2022/09/09,229.619995,230.712,211.331,230.043,231.306,230.068,214.379
2022/09/12,233.610001,233.754,214.106,232.871,234.686,233.363,217.507
2022/09/13,226.5,238.642,218.552,237.565,239.582,238.503,222.355
2022/09/14,219.820007,238.329,218.221,237.346,238.928,238.152,221.766
2022/09/15,230.470001,233.065,213.354,232.191,233.593,232.563,216.414
2022/09/16,231.220001,233.905,214.169,232.667,235.045,233.359,217.638
2022/09/19,245.050003,237.005,217.034,235.802,238.3,236.784,220.769
2022/09/20,240.369995,245.984,225.275,244.302,247.331,245.971,229.952
2022/09/21,242.669998,250.384,229.352,248.687,251.171,250.411,233.994
2022/09/22,235.350006,252.072,230.978,250.14,252.615,251.766,235.613
2022/09/23,235.139999,248.531,227.816,246.778,248.94,247.878,231.913
2022/09/26,225.600006,244.85,224.518,243.196,245.467,243.885,228.397
2022/09/27,228.630005,238.312,218.549,237.116,239.025,237.198,221.955
2022/09/28,229.690002,235.41,215.964,234.305,236.563,234.285,219.577
2022/09/29,241.610001,235.778,216.367,234.796,237.193,234.94,220.329
2022/09/30,237,242.858,222.905,241.568,244.42,242.37,227.805
2022/10/03,237.850006,246.509,226.223,245.259,247.454,246.192,231.174
2022/10/04,244.839996,247.453,227.07,246.019,247.992,246.898,231.95
2022/10/05,238.759995,250.564,229.966,248.838,251.035,249.85,234.885
2022/10/06,236.679993,249.905,229.394,248.402,250.07,249.109,233.798
2022/10/07,235.770004,247.143,226.87,245.751,247.216,246.081,230.895
2022/10/10,225.639999,244.651,224.619,243.351,244.845,243.439,228.391
2022/10/11,226.050003,238.493,218.953,237.599,238.672,237.184,222.181
2022/10/12,214.300003,234.234,215.071,233.442,234.785,232.876,218.275
2022/10/13,212.690002,227.059,208.44,226.761,227.7,225.793,211.19
2022/10/14,237.800003,221.412,203.222,221.319,222.453,220.242,205.971
2022/10/17,234.410004,231.289,212.328,230.539,233.333,230.774,216.707
2022/10/18,249.800003,240.242,220.368,239.542,241.535,240.393,225.11
2022/10/19,265,251.689,230.712,250.159,252.337,251.791,236.212
2022/10/20,272.779999,266.071,243.922,263.646,266.082,266.084,249.801
2022/10/21,268.950012,278.2,255.297,275.271,277.545,278.041,261.008
2022/10/24,290.230011,281.5,258.699,278.564,280.478,280.904,263.722
2022/10/25,286.950012,291.355,268.102,287.777,290.418,290.143,273.418
2022/10/26,290.040009,296.621,273.408,293.157,295.519,295.168,278.427
2022/10/27,298.329987,299.307,276.303,295.709,298.21,297.296,281.501
2022/10/28,297.700012,304.419,281.517,300.61,303.43,301.942,287.092
2022/10/31,295.130005,307.265,284.638,303.464,306.255,304.495,290.498
2022/11/01,296.170013,306.54,284.377,302.746,305.526,303.344,290.589
2022/11/02,286.399994,305.824,284.108,302.08,304.873,302.213,290.685
2022/11/03,271.25,300.164,279.102,296.728,299.141,296.231,285.772
2022/11/04,272.019989,287.83,267.708,284.816,286.732,283.404,274.276
2022/11/07,261.059998,280.636,261.29,278.088,279.931,275.996,267.911
2022/11/08,259.920013,272.869,254.176,271.084,272.226,268.517,260.609
2022/11/09,259.660004,268.232,249.94,266.878,267.747,264.176,256.56
2022/11/10,265.98999,266.759,248.559,265.739,266.298,263.153,255.344
2022/11/11,274.470001,270.203,251.659,269.244,269.629,267.057,258.762
2022/11/14,290,277.691,258.428,276.532,276.701,274.939,265.774
2022/11/15,309.200012,290.565,270.2,288.843,288.999,288.049,277.825
2022/11/16,309.940002,308.397,286.683,305.882,306.061,305.985,294.449
2022/11/17,294.720001,318.462,296.239,315.411,315.426,315.971,303.456
2022/11/18,297.329987,312.536,290.926,309.375,309.47,309.422,297.334
2022/11/21,291,306.891,285.715,303.73,304.135,302.776,291.653
2022/11/22,284.98999,301.192,280.502,298.419,298.734,296.668,285.91
2022/11/23,285.910004,295.369,275.21,292.791,293.277,290.711,280.594
2022/11/25,289,293.331,273.57,290.773,291.824,288.826,279.443
2022/11/28,284,295.272,275.628,292.697,294.249,291.193,282.276
2022/11/29,282.5,294.557,275.029,291.934,293.61,290.783,282.305
2022/11/30,281.369995,292.605,273.213,289.896,291.736,288.837,281.009
2022/12/01,303.98999,290.713,271.42,288.124,289.887,286.948,279.437
2022/12/02,310.48999,302.127,282.128,299.457,301.478,298.61,290.858
2022/12/05,316.459991,314.53,293.67,311.719,313.185,311.474,302.574
2022/12/06,311,323.552,302.139,320.164,321.561,320.433,311.182
2022/12/07,306.5,323.603,302.302,319.925,321.309,320.089,311.027
2022/12/08,309.109985,318.694,297.764,315.067,316.371,314.494,306.066
2022/12/09,321.450012,316.77,296.083,313.396,314.541,312.084,304.009
2022/12/12,320,323.784,302.924,320.541,321.664,319.161,310.872
2022/12/13,328,328.387,307.439,324.966,326.07,324.031,315.551
2022/12/14,318.970001,334.356,313.284,330.483,332.001,329.929,321.908
2022/12/15,302.119995,332.17,311.402,328.108,329.761,327.574,320.161
2022/12/16,288.76001,319.491,299.469,315.504,317.132,314.249,308.194
2022/12/19,289.730011,303.692,284.6,300.233,301.523,297.715,292.932
2022/12/20,281.23999,296.573,278.196,293.956,295.024,290.617,286.253
2022/12/21,289.98999,290.96,272.997,289.039,289.658,285.662,281.002
2022/12/22,298.089996,293.592,275.537,291.815,292.669,288.959,284.213
2022/12/23,296.179993,301.482,282.809,299.608,300.425,297.582,292.08
2022/12/27,293.190002,305.322,286.149,303.067,303.654,301.741,295.574
2022/12/28,281.920013,304.176,284.848,301.578,302.121,300.419,294.052
2022/12/29,283.179993,296.015,276.971,293.532,293.759,291.881,285.409
2022/12/30,285.529999,291.003,272.144,288.798,288.959,286.563,280.005
2023/01/03,298.059998,290.945,272.024,289.082,289.15,286.73,279.523
2023/01/04,298.23999,299.163,279.667,297.198,297.555,295.427,287.475
2023/01/05,307,305.364,285.372,303.024,303.479,302.04,293.332
2023/01/06,311.570007,312.45,291.969,309.459,310.48,309.126,300.305
2023/01/09,316.829987,318.492,297.662,315.105,316.445,315.114,306.086
2023/01/10,311.070007,323.86,302.762,320.189,321.762,320.294,311.26
2023/01/11,326.5,322.855,301.895,319.091,320.728,318.991,310.256
2023/01/12,332.5,329.521,308.313,325.602,327.519,325.292,316.912
2023/01/13,329.970001,337.888,316.394,333.896,335.747,333.741,325.067
2023/01/17,331.079987,340.48,319.052,336.168,338.215,336.211,327.974
2023/01/18,326.75,340.837,319.622,336.32,338.616,336.148,328.807
2023/01/19,322.570007,337.991,317.145,333.565,335.812,332.918,326.377
2023/01/20,336.790009,333.606,313.188,329.371,331.468,328.174,322.453
2023/01/23,341.720001,339.723,319.301,335.753,337.699,334.279,328.738
