Date,Actual,Predicted (Run 1),Predicted (Run 2),Predicted (Run 3),Predicted (Run 4),Predicted (Run 5),Predicted (Run 6)
2022/08/11,181.309998,176.005,179.42,177.53,174.598,172.19,177.854
2022/08/12,181.600006,179.928,183.503,181.9,178.567,176.65,182.495
2022/08/15,187.009995,180.436,184.406,182.601,179.451,177.168,183.133
2022/08/16,189.199997,183.904,187.78,185.806,182.833,180.208,186.169
2022/08/17,185.229996,186.785,190.629,188.734,185.644,183.122,189.256
2022/08/18,183.009995,184.652,188.667,186.785,183.799,181.088,187.32
2022/08/19,184.059998,182.554,186.467,184.606,181.754,178.803,184.904
2022/08/22,174.899994,183.316,187.005,185.373,182.297,179.559,185.612
2022/08/23,169.889999,177.426,181.347,179.76,176.711,173.966,180.112
2022/08/24,170.119995,171.828,175.646,173.945,171.263,168.141,174.089
2022/08/25,168.440002,170.7,174.131,172.5,169.842,166.887,172.718
2022/08/26,178.570007,169.371,172.782,171.205,168.527,165.85,171.714
2022/08/29,160.199997,175.389,178.596,177.082,174.311,171.832,177.636
2022/08/30,159.600006,164.949,168.871,166.927,164.649,161.833,167.834
2022/08/31,153.839996,159.868,163.365,161.03,159.668,156.056,161.577
2022/09/01,142.089996,155.966,159.012,156.76,155.498,152.298,157.634
2022/09/02,141,147.212,150.362,148.136,147.17,144.101,149.225
2022/09/06,137.309998,142.986,145.737,143.485,142.939,139.754,144.51
2022/09/07,135.630005,139.824,142.319,140.127,139.71,136.772,141.333
2022/09/08,134.589996,137.394,139.775,137.601,137.377,134.542,138.923
2022/09/09,141.570007,135.735,138.019,135.814,135.811,132.995,137.191
2022/09/12,143.690002,139.373,141.312,139.19,139.203,136.584,140.656
2022/09/13,138.020004,142.499,144.573,142.546,142.375,140.069,144.141
2022/09/14,132.539993,139.724,142.318,140.144,140.101,137.629,141.59
2022/09/15,130.149994,134.923,137.646,135.304,135.579,132.772,136.437
2022/09/16,127.419998,132.027,134.461,132.213,132.556,129.816,133.234
2022/09/19,130.119995,129.822,132.083,130.094,130.256,127.856,131.134
2022/09/20,132.149994,130.61,132.693,130.943,130.859,128.762,131.957
2022/09/21,132.130005,132.349,134.482,132.852,132.499,130.653,133.854
2022/09/22,130.699997,132.771,135.155,133.445,133.014,131.186,134.387
2022/09/23,124.199997,131.725,134.309,132.404,132.082,130.124,133.261
2022/09/26,124.910004,127.331,130.107,127.992,127.903,125.791,128.773
2022/09/27,125.07,125.77,128.252,126.065,126.168,124.035,126.833
2022/09/28,124.099998,125.834,128.087,125.989,126,124.178,126.908
2022/09/29,124.480003,125.31,127.619,125.542,125.488,123.855,126.525
2022/09/30,120.870003,125.074,127.424,125.255,125.255,123.619,126.205
2022/10/03,123.470001,122.859,125.344,123.028,123.16,121.458,123.945
2022/10/04,128.789993,123.203,125.482,123.097,123.344,121.622,124.021
2022/10/05,129.110001,126.926,128.954,126.671,126.736,125.302,127.744
2022/10/06,132.199997,128.798,131.076,128.827,128.691,127.448,129.961
2022/10/07,125.050003,130.889,133.353,131.011,130.834,129.513,132.024
2022/10/10,120.370003,127.528,130.42,127.903,127.805,126.31,128.766
2022/10/11,115.610001,122.916,125.855,123.2,123.364,121.578,123.836
2022/10/12,115.790001,118.593,121.313,118.701,119.002,117.183,119.268
2022/10/13,109.709999,117.133,119.456,117.03,117.305,115.656,117.664
2022/10/14,120.57,113.44,115.796,113.487,113.752,112.215,114.144
2022/10/17,115.18,117.54,119.297,117.104,117.345,115.899,117.844
2022/10/18,123.440002,117.181,119.237,117.063,117.174,115.922,117.952
2022/10/19,118.790001,120.637,122.579,120.299,120.529,119.135,121.15
2022/10/20,121.129997,119.993,122.256,119.842,120.112,118.703,120.718
2022/10/21,120.980003,120.363,122.626,120.091,120.521,118.964,120.887
2022/10/24,125.080002,120.861,123.096,120.576,120.963,119.5,121.386
2022/10/25,126.940002,123.529,125.658,123.257,123.453,122.18,124.093
2022/10/26,128.690002,126.003,128.265,125.974,125.886,124.809,126.809
2022/10/27,136.300003,127.855,130.346,128.064,127.782,126.723,128.8
2022/10/28,131.039993,133.106,135.558,133.339,132.768,131.801,134.016
2022/10/31,137.779999,132.293,135.297,133.021,132.251,131.289,133.664
2022/11/01,138.110001,135.221,138.159,135.831,135.008,133.876,136.283
2022/11/02,138.5,137.313,140.356,138.099,136.972,136.021,138.595
2022/11/03,130.429993,138.037,141.302,139.039,137.761,136.792,139.48
2022/11/04,139.860001,133.271,136.915,134.47,133.329,132.097,134.771
2022/11/07,142.279999,136.775,139.828,137.411,136.276,134.989,137.656
2022/11/08,148.009995,140.827,143.815,141.62,140.043,139.237,142.163
2022/11/09,141.619995,145.359,148.574,146.397,144.613,143.858,146.984
2022/11/10,148,142.758,146.547,144.047,142.459,141.326,144.559
2022/11/11,158.070007,145.131,148.627,145.951,144.579,143.123,146.316
2022/11/14,162.179993,153.506,156.618,154.238,152.369,151.417,154.837
2022/11/15,167.220001,159.281,162.827,160.628,158.299,157.614,161.386
2022/11/16,161.619995,163.824,167.789,165.473,163.043,162.032,165.987
2022/11/17,157.149994,161.58,165.941,163.407,161.069,159.63,163.746
2022/11/18,159.660004,157.733,162.043,159.431,157.281,155.466,159.537
2022/11/21,151.470001,158.683,162.538,160.191,157.828,156.187,160.263
2022/11/22,153.279999,154.25,158.306,156.105,153.613,152.112,156.321
2022/11/23,160.979996,153.167,157.027,154.807,152.485,150.727,154.868
2022/11/25,163.179993,158.291,161.747,159.677,157.128,155.621,159.882
2022/11/28,160.259995,161.504,165.183,163.123,160.442,159.077,163.622
2022/11/29,158.270004,159.811,163.85,161.462,159.173,157.324,161.961
2022/11/30,156.970001,157.672,161.604,158.955,157.108,154.83,159.375
2022/12/01,169.990005,156.565,160.209,157.593,155.881,153.642,158.134
2022/12/02,166.589996,165.224,168.328,166.124,163.973,162.268,166.786
2022/12/05,166.789993,166.284,169.976,167.888,165.437,163.945,168.783
2022/12/06,165.300003,165.537,169.51,167.187,165.037,162.915,167.711
2022/12/07,157.720001,164.71,168.559,166.196,164.112,161.796,166.589
2022/12/08,162.729996,159.765,163.646,161.359,159.338,156.98,161.8
2022/12/09,171.600006,161.36,164.806,162.753,160.644,158.367,163.087
2022/12/12,170.369995,168.634,171.865,170.232,167.502,165.828,170.699
2022/12/13,185.309998,169.803,173.615,171.956,169.073,167.367,172.53
2022/12/14,179.869995,179.575,183.269,181.586,178.57,176.645,181.819
2022/12/15,171.460007,179.314,183.484,181.714,178.569,176.612,182.221
2022/12/16,168.639999,172.519,176.919,174.861,172.233,169.545,175.069
2022/12/19,165.720001,169.169,173.115,171.071,168.615,165.795,171.076
2022/12/20,160.639999,167.143,170.818,169.048,166.348,163.996,169.261
2022/12/21,161.139999,163.052,166.834,165.104,162.435,160.174,165.42
2022/12/22,160.940002,161.665,165.299,163.454,160.985,158.592,163.736
2022/12/23,151.960007,161.16,164.677,162.722,160.386,158.043,163.205
2022/12/27,150.740005,154.847,158.566,156.327,154.461,151.879,157.021
2022/12/28,139.270004,151.364,154.744,152.282,150.994,148.098,152.99
2022/12/29,144.020004,143.565,146.882,144.304,143.442,140.543,145.244
2022/12/30,143.339996,143.265,145.922,143.404,142.87,140.022,144.446
2023/01/03,148.509995,143.691,146.181,143.835,143.206,140.816,145.177
2023/01/04,145.669998,146.664,149.122,146.844,146.2,143.953,148.242
2023/01/05,144.910004,145.984,148.758,146.375,145.825,143.497,147.76
2023/01/06,144.740005,144.798,147.633,145.138,144.817,142.239,146.363
2023/01/09,152.839996,144.574,147.282,144.877,144.551,142.025,146.042
2023/01/10,155.070007,149.978,152.39,150.336,149.613,147.485,151.491
2023/01/11,158.399994,153.817,156.549,154.775,153.528,151.767,155.92
2023/01/12,161,156.768,159.873,158.128,156.637,154.776,158.997
2023/01/13,162.779999,159.466,162.776,161.038,159.301,157.373,161.678
2023/01/17,168.990005,161.635,165.098,163.444,161.403,159.532,163.954
2023/01/18,176.669998,166.57,170.057,168.594,166.108,164.425,168.964
2023/01/19,170.360001,173.632,177.275,176.043,172.946,171.566,176.331
2023/01/20,170.110001,171.264,175.546,174.127,170.962,169.329,174.368
2023/01/23,180.639999,169.687,173.95,172.275,169.336,167.213,172.154
2023/01/24,188.270004,177.262,181.017,179.609,176.127,174.494,179.503
2023/01/25,189.130005,185.372,189.383,188.282,184.077,183.059,188.469
2023/01/26,197.009995,187.29,191.901,190.512,186.386,184.911,190.621
2023/01/27,194.619995,193.006,197.551,195.929,191.847,189.953,195.698
2023/01/30,199.5,193.347,197.965,196.318,192.118,190.224,196.306
2023/01/31,191.699997,196.742,201.247,199.674,195.384,193.367,199.473
2023/02/01,196.910004,192.485,197.132,195.518,191.267,189.106,195.427
2023/02/02,210,194.867,199.21,197.627,193.389,191.045,197.225
2023/02/03,210,206,210.138,208.984,203.937,202.315,208.685
2023/02/06,208.059998,208.06,212.731,211.558,206.456,204.611,211.557
2023/02/07,213.820007,205.916,210.654,209.104,204.603,201.702,208.662
2023/02/08,223.869995,210.455,214.719,213.293,208.633,205.761,212.671
2023/02/09,226.059998,219.996,224.186,223.327,217.876,215.747,222.944
2023/02/10,216.899994,223.18,227.728,227.035,221.451,219.033,226.64
2023/02/13,215.380005,216.197,220.738,219.796,214.786,211.282,218.997
2023/02/14,215.779999,214.295,218.338,217.439,212.545,208.795,216.29
2023/02/15,225.490005,215.394,219.238,218.745,213.34,210.307,217.961
2023/02/16,221.330002,222.845,226.835,226.639,220.762,218.124,225.828
2023/02/17,216.309998,220.402,224.695,224.263,218.697,215.532,223.637
2023/02/21,210,215.225,219.335,218.501,213.684,209.601,217.603
2023/02/22,207.070007,210.152,213.877,212.958,208.421,204.353,212.307
2023/02/23,234.399994,207.325,210.856,210.003,205.555,201.824,209.701
2023/02/24,232.25,228.072,231.373,231.087,225.508,223.075,230.596
2023/02/27,236.699997,229.823,233.939,233.583,228.025,225.409,234.01
2023/02/28,233.720001,231.369,235.499,234.61,229.989,225.666,233.917
2023/03/01,231.919998,231.03,234.651,234.004,229.103,224.951,233.359
2023/03/02,224.880005,230.511,234,233.886,228.622,224.799,233.32
2023/03/03,233.199997,225.567,229.14,229.266,223.887,219.989,228.528
2023/03/06,238.910004,231.47,234.962,235.335,229.47,225.794,234.029
2023/03/07,236,237.246,240.97,241.649,235.132,231.982,240.616
2023/03/08,234.869995,234.503,238.393,238.887,232.817,228.862,237.809
2023/03/09,241.75,232.909,236.524,236.801,231.109,226.599,235.372
2023/03/10,234.089996,239.023,242.418,242.935,236.77,232.939,241.688
2023/03/13,227.520004,233.829,237.39,237.906,231.928,228.048,237.243
2023/03/14,234.960007,227.242,230.702,230.809,225.571,220.875,229.713
2023/03/15,237.610001,232.929,236.075,236.229,230.605,226.594,235.133
2023/03/16,240.270004,236.143,239.571,239.888,233.893,230.575,239.519
2023/03/17,259.820007,237.47,241.1,241.15,235.577,231.62,240.537
2023/03/20,256.149994,253.88,257.431,257.635,251.438,247.907,256.541
2023/03/21,261.799988,252.901,256.397,256.958,250.708,246.954,256.64
2023/03/22,264.25,256.879,260.235,260.834,254.854,250.117,259.272
2023/03/23,271.149994,261.421,264.512,265.733,258.829,254.755,264.158
2023/03/24,270.309998,268.166,271.381,273.251,265.668,261.776,271.355
