Date,Actual Price,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3),Predicted Price (run 4),Predicted Price (run 5),Predicted Price (run 6)
2022/08/11,170.059998,168.785,164.105,164.479,166.088,162.961,166.958
2022/08/12,169.820007,171.132,166.697,166.844,168.796,164.983,169.276
2022/08/15,171.520004,171.171,166.694,166.788,168.75,164.817,169.167
2022/08/16,172.779999,172.632,167.843,168.235,169.886,166.414,170.682
2022/08/17,172.770004,173.92,169.187,169.486,171.317,167.495,171.887
2022/08/18,173.75,174.11,169.342,169.572,171.479,167.533,171.954
2022/08/19,173.029999,175.045,170.104,170.457,172.232,168.516,172.9
2022/08/22,169.690002,174.64,169.73,169.985,171.869,167.86,172.354
2022/08/23,167.080002,172.021,167.015,167.262,169.089,165.046,169.539
2022/08/24,167.320007,169.847,164.635,165.048,166.656,162.971,167.347
2022/08/25,168.779999,169.874,164.665,165.122,166.739,163.197,167.528
2022/08/26,170.570007,170.99,165.967,166.316,168.107,164.391,168.822
2022/08/29,161.149994,172.409,167.457,167.823,169.591,165.859,170.401
2022/08/30,162.130005,165.075,160.31,160.453,162.223,157.701,162.527
2022/08/31,160.309998,164.928,159.338,160.287,161.148,158.544,162.767
2022/09/01,156.639999,163.599,158.626,159.055,160.576,156.8,161.382
2022/09/02,159.75,160.495,155.675,155.937,157.501,153.79,158.295
2022/09/06,156.470001,162.178,157.131,157.762,158.897,156.038,160.4
2022/09/07,154.820007,159.942,155.416,155.612,157.177,153.354,158.064
2022/09/08,154.639999,158.144,153.451,153.855,155.073,151.856,156.384
2022/09/09,155.470001,157.631,152.971,153.445,154.568,151.465,155.993
2022/09/12,159.589996,158.108,153.629,153.978,155.272,152.055,156.606
2022/09/13,159.899994,161.233,156.847,157.185,158.557,155.445,160.013
2022/09/14,154.789993,161.968,157.872,157.939,159.565,155.914,160.704
2022/09/15,154.649994,158.191,154.081,154.113,155.574,151.877,156.645
2022/09/16,151.210007,157.437,152.953,153.354,154.383,151.523,155.958
2022/09/19,149.309998,154.934,150.777,150.844,152.267,148.807,153.291
2022/09/20,153.399994,153.011,148.854,148.921,150.301,147.135,151.411
2022/09/21,157.339996,155.518,151.307,151.56,152.854,150.092,154.261
2022/09/22,152.380005,159.005,155.115,155.157,156.842,153.598,157.977
