Date,Actual,Predicted (Run 1),Predicted (Run 2),Predicted (Run 3),Predicted (Run 4),Predicted (Run 5),Predicted (Run 6)
2022/08/11,263.200012,258.966,258.922,257.664,255.277,259.868,261.495
2022/08/12,259.549988,260.879,260.757,259.811,257.205,261.876,263.415
2022/08/15,262.209991,259.873,259.854,258.78,255.762,261.074,262.922
2022/08/16,265.040009,259.833,259.83,258.806,255.991,261.104,262.788
2022/08/17,265.959991,261.522,261.448,260.534,257.976,262.755,263.975
2022/08/18,266,263.107,262.982,262.089,259.482,264.334,265.264
2022/08/19,265.940002,263.774,263.683,262.693,259.955,265.027,265.866
2022/08/22,264.5,263.868,263.828,262.695,259.936,265.108,265.905
2022/08/23,262.619995,263.197,263.226,261.859,259.119,264.387,265.216
2022/08/24,260.709991,261.906,261.992,260.38,257.711,263.035,263.928
2022/08/25,261.98999,260.349,260.462,258.68,256.116,261.43,262.38
2022/08/26,262.799988,260.311,260.413,258.711,256.332,261.357,262.148
2022/08/29,255.5,261.073,261.149,259.626,257.186,262.141,262.841
2022/08/30,256,257.891,258.037,256.28,253.382,259.12,260.351
2022/08/31,254.169998,255.568,255.692,254.016,251.406,256.862,258.132
2022/09/01,251.820007,254.008,254.13,252.462,250.147,255.316,256.43
2022/09/02,257.410004,252.234,252.361,250.659,248.454,253.587,254.624
2022/09/06,254.470001,254.153,254.381,252.94,251.032,255.515,256.013
2022/09/07,255.139999,254.334,254.485,253.168,250.994,255.785,256.32
2022/09/08,257.850006,254.034,254.152,252.94,250.734,255.563,256.122
2022/09/09,260.26001,255.139,255.196,254.145,252.167,256.626,256.943
2022/09/12,260,257.19,257.154,256.231,254.354,258.575,258.669
2022/09/13,257.73999,258.228,258.164,257.185,255.177,259.538,259.711
2022/09/14,255,257.396,257.406,256.159,254.019,258.633,259.141
2022/09/15,255.020004,255.321,255.354,253.828,251.766,256.428,257.305
2022/09/16,251.850006,254.293,254.272,252.689,250.938,255.247,256.173
2022/09/19,254,252.697,252.655,250.977,249.236,253.572,254.715
2022/09/20,256.100006,252.916,252.912,251.406,249.729,253.788,254.872
2022/09/21,255.130005,254.503,254.51,253.305,251.483,255.424,256.433
2022/09/22,250.389999,254.89,254.88,253.852,251.674,255.937,257.16
2022/09/23,247.210007,252.208,252.236,251.068,248.613,253.399,255.119
2022/09/26,245.940002,248.474,248.422,247.167,244.946,249.707,251.649
